"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Source Weather","Precipitation","Source Fire CA","Display Date","Size","Containment","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"2025-01-03","01:09","50","49","96","ESE","6","0","29.94","Mist","2025-1-3","0.0",,"Jan 3 - 1:09AM",,,,,,,,
"2025-01-03","01:24","49","49","100","E","5","0","29.94","Mist","2025-1-3","0.0",,"Jan 3 - 1:24AM",,,,,,,,
"2025-01-03","01:53","50","50","100","ESE","5","0","29.93","Mist","2025-1-3","0.0",,"Jan 3 - 1:53AM",,,,,,,,
"2025-01-03","02:53","50","50","100","CALM","0","0","29.93","Fog","2025-1-3","0.0",,"Jan 3 - 2:53AM",,,,,,,,
"2025-01-03","03:36","49","48","97","CALM","0","0","29.93","Fog","2025-1-3","0.0",,"Jan 3 - 3:36AM",,,,,,,,
"2025-01-03","03:50","48","48","100","CALM","0","0","29.93","Mist","2025-1-3","0.0",,"Jan 3 - 3:50AM",,,,,,,,
"2025-01-03","03:53","49","49","100","CALM","0","0","29.92","Mist","2025-1-3","0.0",,"Jan 3 - 3:53AM",,,,,,,,
"2025-01-03","04:53","49","49","100","WSW","3","0","29.91","Mist","2025-1-3","0.0",,"Jan 3 - 4:53AM",,,,,,,,
"2025-01-03","05:18","50","49","96","W","5","0","29.91","Fog","2025-1-3","0.0",,"Jan 3 - 5:18AM",,,,,,,,
"2025-01-03","05:37","51","50","96","W","6","0","29.91","Fog","2025-1-3","0.0",,"Jan 3 - 5:37AM",,,,,,,,
"2025-01-03","05:53","51","51","100","W","6","0","29.91","Fog","2025-1-3","0.0",,"Jan 3 - 5:53AM",,,,,,,,
"2025-01-03","06:18","51","51","100","W","6","0","29.90","Fog","2025-1-3","0.0",,"Jan 3 - 6:18AM",,,,,,,,
"2025-01-03","06:30","51","51","100","NW","5","0","29.90","Fog","2025-1-3","0.0",,"Jan 3 - 6:30AM",,,,,,,,
"2025-01-03","06:53","51","51","100","WSW","5","0","29.91","Fog","2025-1-3","0.0",,"Jan 3 - 6:53AM",,,,,,,,
"2025-01-03","07:18","50","50","100","SW","6","0","29.92","Mist","2025-1-3","0.0",,"Jan 3 - 7:18AM",,,,,,,,
"2025-01-03","07:29","50","49","96","WSW","5","0","29.92","Mist","2025-1-3","0.0",,"Jan 3 - 7:29AM",,,,,,,,
"2025-01-03","07:42","49","49","100","WSW","5","0","29.92","Fog","2025-1-3","0.0",,"Jan 3 - 7:42AM",,,,,,,,
"2025-01-03","07:53","50","50","100","WSW","6","0","29.92","Fog","2025-1-3","0.0",,"Jan 3 - 7:53AM",,,,,,,,
"2025-01-03","08:11","50","50","100","CALM","0","0","29.92","Fog","2025-1-3","0.0",,"Jan 3 - 8:11AM",,,,,,,,
"2025-01-03","08:53","50","50","100","W","5","0","29.94","Fog","2025-1-3","0.0",,"Jan 3 - 8:53AM",,,,,,,,
"2025-01-03","09:33","51","51","100","W","6","0","29.96","Fog","2025-1-3","0.0",,"Jan 3 - 9:33AM",,,,,,,,
"2025-01-03","09:53","51","51","100","S","3","0","29.96","Fog","2025-1-3","0.0",,"Jan 3 - 9:53AM",,,,,,,,
"2025-01-03","10:07","52","52","100","S","3","0","29.96","Fog","2025-1-3","0.0",,"Jan 3 - 10:07AM",,,,,,,,
"2025-01-03","10:53","54","51","90","CALM","0","0","29.98","Mist","2025-1-3","0.0",,"Jan 3 - 10:53AM",,,,,,,,
"2025-01-03","11:12","55","52","89","CALM","0","0","29.97","Mist","2025-1-3","0.0",,"Jan 3 - 11:12AM",,,,,,,,
"2025-01-03","11:41","55","52","89","CALM","0","0","29.97","Mist","2025-1-3","0.0",,"Jan 3 - 11:41AM",,,,,,,,
"2025-01-03","11:53","56","52","87","SE","3","0","29.95","Mist","2025-1-3","0.0",,"Jan 3 - 11:53AM",,,,,,,,
"2025-01-03","12:53","56","51","84","WSW","9","0","29.95","Mist","2025-1-3","0.0",,"Jan 3 - 12:53PM",,,,,,,,
"2025-01-03","13:02","56","51","84","W","10","0","29.94","Mist","2025-1-3","0.0",,"Jan 3 - 1:02PM",,,,,,,,
"2025-01-03","13:22","56","51","84","WSW","7","0","29.92","Mist","2025-1-3","0.0",,"Jan 3 - 1:22PM",,,,,,,,
"2025-01-03","13:27","57","51","81","SW","6","0","29.92","Mist","2025-1-3","0.0",,"Jan 3 - 1:27PM",,,,,,,,
"2025-01-03","13:53","58","51","78","W","9","0","29.93","Mostly Cloudy","2025-1-3","0.0",,"Jan 3 - 1:53PM",,,,,,,,
"2025-01-03","14:53","58","51","78","WSW","6","0","29.90","Mostly Cloudy","2025-1-3","0.0",,"Jan 3 - 2:53PM",,,,,,,,
