"guid","Name","Start Date/Time","Incident Status","Location","Type","Cause","Counties","Administration Unit","Size","Containment","Date","Time","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"3490aec0-ebf7-4260-8b59-e062a0a276eb","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles County Fire Department","10","0%","01/07/2025","11:06 AM",,,,,,
"c7282357-507f-417b-8781-d5c331b4804b","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles County Fire Department","10","0%","01/07/2025","11:11 AM",,,,,,
"852ab978-22d5-480c-94e4-08b30c562d5c","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles Fire Department","10","0%","01/07/2025","11:18 AM",,,,,,
"c9fde7f3-4311-4430-b7b2-fa79ccb07070","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","10","0%","01/07/2025","11:26 AM",,,,,,
"7dd7c781-1339-4706-952f-428364b721a9","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","11:31 AM",,,,,,
"c5603b20-88d1-4e41-aaa8-a5fc6e7440d0","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","11:44 AM",,,,,,
"05b68c83-2b8b-4148-9331-15a474e4dc6c","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","11:49 AM",,,,,,
"1f0beda0-aa77-441b-8733-c45f57173cb3","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:00 PM",,,,,,
"bb097874-e194-4ea5-bb4a-964105068a7f","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:03 PM",,,,,,
"1053edbc-3fa5-4f8e-b4a0-0734475ff981","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:19 PM",,,,,,
"f1f627ee-609d-4927-b5b7-af0219f5f9dc","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:20 PM",,,,,,
"e18d9f64-3b8d-4cf3-8170-8327b21a121b","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:31 PM",,,,,,
"8d58d083-9aca-41e8-a972-9c7ef61744c2","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","12:37 PM",,,,,,
"51d5995e-b2b6-4933-a735-c3e3b795524a","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","1:24 PM",,,,,,
"5ac980bb-ca91-46e1-bdcf-aa519ac66d1b","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","1:33 PM",,,,,,
"48eda7ff-06a1-4b68-b6e3-985038ffe9f6","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","1:34 PM",,,,,,
"82a05e51-4d6e-4e0d-980c-575e8c7a8a43","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","2:27 PM",,,,,,
"18c0bcea-e812-4d2f-bbdc-c6829123385a","Palisades Fire","2025-01-07","Active","Southeast of Palisades Drive, Pacific Palisades","Wildfire","Under Investigation","Los Angeles","Los Angeles City Fire Department","200","0%","01/07/2025","2:31 PM",,,,,,
