"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Source Weather","Precipitation","Source Fire CA","Size","Containment","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"2025-01-06","01:53","55","35","47","CALM","0","0","29.97","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","02:53","55","34","45","CALM","0","0","29.96","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","03:53","51","37","59","CALM","0","0","29.96","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","04:53","52","33","49","CALM","0","0","29.96","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","05:53","50","36","59","CALM","0","0","29.95","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","06:53","50","35","57","CALM","0","0","29.95","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","07:53","52","37","57","CALM","0","0","29.96","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","08:53","54","33","45","E","6","0","29.96","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","09:53","59","33","38","SE","5","0","29.96","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","10:53","65","33","31","CALM","0","0","29.97","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","11:53","70","35","28","CALM","0","0","29.95","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","12:53","70","36","29","CALM","0","0","29.91","Fair","2025-1-6","0.0",,,,,,,,,
"2025-01-06","13:53","70","38","31","W","7","0","29.87","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","14:53","67","45","45","W","9","0","29.86","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","15:53","65","50","58","WSW","12","0","29.85","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","16:53","62","54","75","SW","8","0","29.85","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","17:53","60","54","80","W","7","0","29.86","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","18:53","60","49","67","SW","3","0","29.84","Partly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","19:53","60","49","67","CALM","0","0","29.84","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","20:53","59","49","69","SSE","3","0","29.84","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","21:53","60","49","67","VAR","3","0","29.84","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","22:53","59","0","0","E","5","0","29.84","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-06","23:53","57","54","89","E","3","0","29.84","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-07","00:53","58","55","90","VAR","3","0","29.83","Mostly Cloudy","2025-1-6","0.0",,,,,,,,,
"2025-01-07","01:50","55","54","94","NE","3","0","29.81","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","01:53","55","53","93","CALM","0","0","29.80","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","02:53","53","51","93","CALM","0","0","29.80","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","03:53","53","51","93","SE","3","0","29.80","Fair","2025-1-7","0.0",,,,,,,,,
"2025-01-07","04:53","51","50","96","CALM","0","0","29.79","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","05:53","50","48","93","CALM","0","0","29.80","Partly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","06:53","51","48","89","SE","5","0","29.80","Partly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","07:53","50","48","93","CALM","0","0","29.82","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
"2025-01-07","08:53","52","50","93","SSE","3","0","29.83","Mostly Cloudy","2025-1-7","0.0",,,,,,,,,
