objectid,globalid,CreationDate,Creator,EditDate,Editor,event_name,first_date_of_poc,iou,de_energization_status,de_energization_starting_date,full_restoration_date,customers_notified,customers_de_energized,cancelledremoved_from_scope,mbl_de_energized,counties_de_energized,tribes_de_energized,transmission_circuits_de_energi,distribution_circuits_in_scope,distribution_circuits_de_energi,damageshazards,cfci_de_energized,crcccvcrv_open,x,y
1,78075ed0-4050-4534-8b02-5de6c80c2c86,2023-11-30T22:01:09,mabel.wu_CaPUC,2024-03-11T21:25:36,mabel.wu_CaPUC,PGE PSPS Event 10/11/21,2021-10-11T19:00:00,PGE,Yes,2021-10-11T19:00:00,2021-10-12T19:00:00,46840,23504,23336,1738,23,5,3,128,95,8,660,24,0,0
2,8e973c65-00f2-4df7-8aa1-19c923c99e93,2023-11-30T22:02:56,mabel.wu_CaPUC,2024-03-11T21:25:50,mabel.wu_CaPUC,SCE PSPS Event 10/11/21,2021-10-11T19:00:00,SCE,Yes,2021-10-11T19:00:00,2021-10-12T19:00:00,12033,40,11993,0,1,0,0,17,2,0,31,1,0,0
3,c110bce1-1d5b-4c6c-8d05-936259a47e53,2023-11-30T22:05:29,mabel.wu_CaPUC,2024-03-11T21:26:02,mabel.wu_CaPUC,PGE PSPS Event 10/14/21,2021-10-14T19:00:00,PGE,Yes,2021-10-14T19:00:00,2021-10-16T19:00:00,29114,666,28448,34,1,0,0,109,6,1,38,11,0,0
4,7888b745-24a1-473b-8bc3-dc4f6f8eaa61,2023-11-30T22:09:00,mabel.wu_CaPUC,2024-03-11T21:26:14,mabel.wu_CaPUC,SCE PSPS Event 10/15/21,2021-10-15T19:00:00,SCE,Yes,2021-10-15T19:00:00,2021-10-16T19:00:00,3478,104,3374,0,2,0,0,9,3,0,37,1,0,0
5,906f20cc-c036-4a86-8d7f-0e3ab055da7a,2023-11-30T22:12:00,mabel.wu_CaPUC,2024-03-11T21:26:26,mabel.wu_CaPUC,SCE PSPS Event 10/17/21,2021-10-17T19:00:00,SCE,No,,,335,0,335,0,0,0,0,2,0,0,0,0,0,0
6,c952bec8-ce61-4ba5-8818-203e9841cc9c,2023-11-30T22:13:46,mabel.wu_CaPUC,2024-03-11T21:26:41,mabel.wu_CaPUC,SCE PSPS Event 10/22/21,2021-10-22T19:00:00,SCE,Yes,2021-10-22T19:00:00,2021-10-22T19:00:00,601,112,489,2,1,0,0,6,1,1,5,7,0,0
7,80e4fa99-0c39-4026-876a-aed78a1192c2,2023-11-30T22:15:49,mabel.wu_CaPUC,2024-03-11T21:26:55,mabel.wu_CaPUC,SCE PSPS Event 11/21/21,2021-11-21T20:00:00,SCE,Yes,2021-11-21T20:00:00,2021-11-22T20:00:00,25137,5197,19940,160,5,2,0,23,13,4,77,11,0,0
8,3b5c8e76-3c71-41a5-8aee-eddb068cd1a0,2023-11-30T22:18:04,mabel.wu_CaPUC,2024-03-11T21:27:10,mabel.wu_CaPUC,SCE PSPS Event 11/24/21,2021-11-24T20:00:00,SCE,Yes,2021-11-24T20:00:00,2021-11-26T20:00:00,203124,79697,123427,2522,5,3,0,180,102,8,2048,0,0,0
9,a06581ce-3010-48cd-88cd-f0d106a6da71,2023-11-30T22:19:46,mabel.wu_CaPUC,2024-03-11T21:27:25,mabel.wu_CaPUC,SDGE PSPS Event 11/24/21,2021-11-24T20:00:00,SDGE,Yes,2021-11-24T20:00:00,2021-11-26T20:00:00,54527,5858,48669,406,1,5,0,79,13,0,241,3,0,0
10,868ba9e7-aca8-4c60-8bfc-f0e32ce58bb7,2023-11-30T22:20:53,mabel.wu_CaPUC,2023-11-30T22:20:53,mabel.wu_CaPUC,SCE PSPS Event 06/17/22,2022-06-17T19:00:00,SCE,No,,,3,0,3,0,0,0,0,1,0,0,0,0,0,0
11,33d1159e-c630-4a2c-8051-5a4b61dc56ef,2023-11-30T22:22:39,mabel.wu_CaPUC,2023-12-04T18:53:02,mabel.wu_CaPUC,SCE PSPS Event 07/22/22,2022-07-22T19:00:00,SCE,Yes,2022-07-22T19:00:00,2022-07-23T19:00:00,187,209,5,4,2,0,0,2,2,0,39,2,0,0
12,004dbeba-5022-4c5f-8a76-807434c3281d,2023-11-30T22:24:18,mabel.wu_CaPUC,2023-11-30T22:24:18,mabel.wu_CaPUC,SCE PSPS Event 09/09/22,2022-09-09T19:00:00,SCE,No,,,79041,0,79041,0,0,0,0,79,0,0,0,8,0,0
13,639a2078-987e-4d98-82cc-d3524f6eb90b,2023-11-30T22:26:26,mabel.wu_CaPUC,2024-12-18T22:54:36,mabel.wu_CaPUC,Liberty Utility PSOM Event 10/21/22,2022-10-21T19:00:00,Liberty Utilities,No,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,df08bc4c-fb00-48a5-8a99-cabd33a37f64,2023-11-30T22:27:50,mabel.wu_CaPUC,2023-11-30T22:27:50,mabel.wu_CaPUC,SCE PSPS Event 10/22/22,2022-10-22T19:00:00,SCE,No,,,59467,0,59467,0,0,0,0,78,0,0,0,14,0,0
15,f4508b5f-8375-443f-846a-09663d4bc6f4,2023-11-30T22:29:17,mabel.wu_CaPUC,2023-12-04T18:47:19,mabel.wu_CaPUC,PG&E PSPS Event 10/22/22,2022-10-22T19:00:00,PGE,No,,,5769,0,5768,0,0,0,0,33,0,0,0,5,0,0
16,e38b98b0-1031-46ad-8d4e-711dad07f780,2023-11-30T22:30:50,mabel.wu_CaPUC,2023-11-30T22:30:50,mabel.wu_CaPUC,SCE PSPS Event 11/18/22,2022-11-18T20:00:00,SCE,Yes,2022-11-19T20:00:00,2022-11-20T20:00:00,16959,5375,16139,177,2,0,0,14,4,0,122,4,0,0
17,2c4ae422-c9fa-48c0-85c9-2d00dbf3faef,2023-11-30T22:32:36,mabel.wu_CaPUC,2023-11-30T22:32:36,mabel.wu_CaPUC,SCE PSPS Event 11/24/22,2022-11-24T20:00:00,SCE,Yes,2022-11-24T20:00:00,2022-11-25T20:00:00,50288,10200,40111,383,2,0,0,33,7,1,156,9,0,0
18,cf4599db-baf5-46f4-8911-40d978f805b6,2023-11-30T22:34:02,mabel.wu_CaPUC,2023-11-30T22:34:02,mabel.wu_CaPUC,SCE PSPS Event 07/11/23,2023-07-11T19:00:00,SCE,Yes,2023-07-11T19:00:00,2023-07-13T19:00:00,5,5,0,0,1,0,0,1,1,0,2,0,0,0
19,f9b3afa3-017f-4aca-8a3e-064584d612bf,2023-11-30T22:35:18,mabel.wu_CaPUC,2023-11-30T22:35:18,mabel.wu_CaPUC,SCE PSPS Event 07/18/23,2023-07-18T19:00:00,SCE,No,,,5,0,5,0,0,0,0,1,0,0,0,0,0,0
20,7f628e92-d9d4-4ab9-826a-7b69cc7bca0f,2023-11-30T22:36:50,mabel.wu_CaPUC,2023-11-30T22:36:50,mabel.wu_CaPUC,PG&E PSPS Event 08/30/23,2023-08-30T19:00:00,PGE,Yes,2023-08-30T19:00:00,2023-08-31T19:00:00,8444,3928,4527,324,7,2,3,31,18,1,135,8,0,0
21,6cced730-81f7-4098-8c43-80e271250ed9,2023-11-30T22:38:24,mabel.wu_CaPUC,2023-11-30T22:38:24,mabel.wu_CaPUC,PG&E PSPS Event 09/20/23,2023-09-20T19:00:00,PGE,Yes,2023-09-20T19:00:00,2023-09-21T19:00:00,5355,1171,4187,127,3,0,0,30,6,1,41,8,0,0
22,bba9fa46-299e-4d3e-82c5-24611b819921,2023-11-30T23:17:15,mabel.wu_CaPUC,2023-11-30T23:17:15,mabel.wu_CaPUC,PG&E PSPS Event 09/30/23,2023-09-30T19:00:00,PGE,No,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,f5988bf1-cdc1-4649-85eb-77fb10bbac31,2023-11-30T23:19:22,mabel.wu_CaPUC,2023-11-30T23:19:22,mabel.wu_CaPUC,SDG&E PSPS Event 10/29/23,2023-10-29T19:00:00,SDGE,No,,,1109,0,1109,0,0,0,0,10,0,0,0,0,0,0
24,63be626c-008e-4a58-8dd4-3edd6d4cc2c0,2023-11-30T23:20:47,mabel.wu_CaPUC,2024-04-08T23:08:07,mabel.wu_CaPUC,SCE PSPS Event 11/08/23,2023-11-08T20:00:00,SCE,Yes,2023-11-09T20:00:00,2023-11-10T20:00:00,79078,338,78755,9,2,1,0,73,4,0,48,6,0,0
25,399d92af-71e4-4a11-8a13-3d0487ca6c78,2023-11-30T23:29:30,mabel.wu_CaPUC,2023-11-30T23:29:30,mabel.wu_CaPUC,SCE PSPS Event 10/11/23,2023-10-11T19:00:00,SCE,No,,,8124,0,8124,0,0,0,0,8,0,0,0,4,0,0
28,9958b480-5e21-422d-8f9f-3d91be28d7df,2023-12-04T18:32:10,mabel.wu_CaPUC,2024-04-08T22:40:09,mabel.wu_CaPUC,SCE PSPS Event 10/29/23,2023-10-29T19:00:00,SCE,Yes,2023-10-29T19:00:00,2023-11-02T19:00:00,203538,25504,183935,588,5,0,0,186,41,3,661,14,0,0
29,21b2a7b9-2a0b-4d0e-8a4a-0de8f66f1e6c,2023-12-08T18:17:23,mabel.wu_CaPUC,2024-04-08T23:05:48,mabel.wu_CaPUC,SCE PSPS Event 11/20/23,2023-11-20T20:00:00,SCE,Yes,2023-11-20T20:00:00,2023-11-21T20:00:00,40859,2780,38051,103,3,0,0,35,5,0,139,6,0,0
30,fa633365-103a-4f35-883c-8b0456f1f25d,2023-12-11T23:04:36,mabel.wu_CaPUC,2023-12-11T23:04:36,mabel.wu_CaPUC,SCE PSPS Event 11/26/23,2023-11-26T20:00:00,SCE,No,,,2699,0,2699,0,0,0,0,5,0,0,0,2,0,0
31,672b4312-1beb-4c46-80b3-feb8bfba7709,2023-12-20T21:19:33,mabel.wu_CaPUC,2024-03-11T21:08:12,mabel.wu_CaPUC,SCE PSPS Event 10/12/18,2018-10-12T19:00:00,SCE,No,,,135302,0,,,,,,,,,,,0,0
