"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN8","2016-03-18T00:00",65.5,8.1,10,65.5,8.1,10
"KCATOPAN8","2016-03-18T00:15",65.5,10.1,10.1,64.9,6.9,8
"KCATOPAN8","2016-03-18T00:30",64.2,2.9,5,64,2.9,5
"KCATOPAN8","2016-03-18T00:45",63.5,4.9,5,63.3,2.9,4
"KCATOPAN8","2016-03-18T01:00",63.1,4,4,63,4,4
"KCATOPAN8","2016-03-18T01:15",62.4,2,3,62.4,2,3
"KCATOPAN8","2016-03-18T01:30",62.2,4,5,62.2,2,4
"KCATOPAN8","2016-03-18T01:45",62.2,4,5,62.2,2.9,4
"KCATOPAN8","2016-03-18T02:00",62.1,2.9,4,62.1,2.9,4
"KCATOPAN8","2016-03-18T02:15",61.9,4,6,61.9,2.9,4
"KCATOPAN8","2016-03-18T02:30",61.9,4,6,61.3,4,5
"KCATOPAN8","2016-03-18T02:45",61.3,6,8,61.2,2,4
"KCATOPAN8","2016-03-18T03:00",61.3,4.9,6,61.3,4.9,6
"KCATOPAN8","2016-03-18T03:15",61.5,4.9,6,61.3,2.9,5
"KCATOPAN8","2016-03-18T03:30",61.2,6,8,60.3,2.9,4
"KCATOPAN8","2016-03-18T03:45",59.5,8.1,9,59,4.9,8
"KCATOPAN8","2016-03-18T04:00",59.9,4.9,8,59,2,4
"KCATOPAN8","2016-03-18T04:15",60.4,2.9,5,60.3,0.9,3
"KCATOPAN8","2016-03-18T04:30",59.9,6,6,59,4.9,6
"KCATOPAN8","2016-03-18T04:45",59,6,6,58.8,4,4
"KCATOPAN8","2016-03-18T05:00",60.1,2.9,4,59.4,2.9,3
"KCATOPAN8","2016-03-18T05:15",60.8,2,3,60.6,0.9,2
"KCATOPAN8","2016-03-18T05:30",60.6,4,5,59.9,0,2
"KCATOPAN8","2016-03-18T05:45",60.3,2.9,3,59.4,2,3
"KCATOPAN8","2016-03-18T06:00",60.4,2.9,3,60.4,0,2
"KCATOPAN8","2016-03-18T06:15",60.3,0.9,2,60.1,0,1
"KCATOPAN8","2016-03-18T06:30",59.9,0.9,2,59.7,0,2
"KCATOPAN8","2016-03-18T06:45",59.7,4,6,59.7,1,2
"KCATOPAN8","2016-03-18T07:00",59.5,2,3,59.5,0,2
"KCATOPAN8","2016-03-18T07:15",60.3,2,3,59.7,2,2
"KCATOPAN8","2016-03-18T07:30",61,0.9,2,60.4,0.9,2
"KCATOPAN8","2016-03-18T07:45",61.2,0.9,3,61.2,0,1
"KCATOPAN8","2016-03-18T08:00",61.2,2.9,5,60.6,2.9,3
"KCATOPAN8","2016-03-18T08:15",60.4,2.9,4,60.3,2.9,4
"KCATOPAN8","2016-03-18T08:30",61.2,2.9,4,60.6,2.9,4
"KCATOPAN8","2016-03-18T08:45",62.6,2,3,62.1,0.9,1
"KCATOPAN8","2016-03-18T09:00",63.9,2,2,63.1,0,0
"KCATOPAN8","2016-03-18T09:15",64.9,2.9,5,64.4,0.9,2
"KCATOPAN8","2016-03-18T09:30",64.8,2.9,4,64.4,0.9,2
"KCATOPAN8","2016-03-18T09:45",64.6,2,3,64.4,0.9,2
"KCATOPAN8","2016-03-18T10:00",64,0.9,3,63.9,0.9,3
"KCATOPAN8","2016-03-18T10:15",64.4,0.9,3,64,0,2
"KCATOPAN8","2016-03-18T10:30",64.8,2,3,64.6,0,2
"KCATOPAN8","2016-03-18T10:45",64.8,2.9,5,64.4,0.9,2
"KCATOPAN8","2016-03-18T11:00",64.4,2.9,5,64,0,2
"KCATOPAN8","2016-03-18T11:15",63.7,2,4,63.3,0.9,4
"KCATOPAN8","2016-03-18T11:30",62.8,2.9,6,62.4,0.9,6
"KCATOPAN8","2016-03-18T11:45",63.1,2.9,8,62.8,0.9,5
"KCATOPAN8","2016-03-18T12:00",63.9,2.9,7,63.5,2,4
"KCATOPAN8","2016-03-18T12:15",64.6,2.9,5,63.7,2,3
"KCATOPAN8","2016-03-18T12:30",64.6,2.9,4,63.9,2.9,3
"KCATOPAN8","2016-03-18T12:45",64.8,4,5,64,0,2
"KCATOPAN8","2016-03-18T13:00",64.8,2.9,6,64.2,0,3
"KCATOPAN8","2016-03-18T13:15",65.7,4.9,6,65.5,2,3
"KCATOPAN8","2016-03-18T13:30",66,4,6,65.1,2.9,6
"KCATOPAN8","2016-03-18T13:45",65.3,4.9,5,65.3,2.9,5
"KCATOPAN8","2016-03-18T14:00",65.1,4.9,8,64.8,2,4
"KCATOPAN8","2016-03-18T14:15",65.7,2.9,5,65.1,2,4
"KCATOPAN8","2016-03-18T14:30",65.8,4,7,64.9,2.9,5
"KCATOPAN8","2016-03-18T14:45",65.1,2.9,5,64.8,2,4
"KCATOPAN8","2016-03-18T15:00",65.1,4,5,65.1,2.9,4
"KCATOPAN8","2016-03-18T15:15",65.1,4.9,7,65.1,2,4
"KCATOPAN8","2016-03-18T15:30",65.5,6,6,65.1,4.9,6
"KCATOPAN8","2016-03-18T15:45",64.8,6,6,64.8,4.9,5
"KCATOPAN8","2016-03-18T16:00",65.3,6,8,64.9,2.9,7
"KCATOPAN8","2016-03-18T16:15",66.6,4,7,65.7,0.9,4
"KCATOPAN8","2016-03-18T16:30",67.3,2.9,3,66.7,0,1
"KCATOPAN8","2016-03-18T16:45",67.6,2,4,67.5,0.9,1
"KCATOPAN8","2016-03-18T17:00",67.6,4,5,67.5,2,2
"KCATOPAN8","2016-03-18T17:15",67.3,2,4,66.7,0,2
"KCATOPAN8","2016-03-18T17:30",66.9,0,1,66.7,0,1
"KCATOPAN8","2016-03-18T17:45",66.9,0.9,2,66.7,0,2
"KCATOPAN8","2016-03-18T18:00",66.6,2,2,66.2,0.9,2
"KCATOPAN8","2016-03-18T18:15",66.4,2,3,66,0.9,2
"KCATOPAN8","2016-03-18T18:30",66.6,2.9,3,66.6,0.9,2
"KCATOPAN8","2016-03-18T18:45",66.4,0.9,3,65.8,0,0
"KCATOPAN8","2016-03-18T19:00",65.8,2,3,65.8,0,1
"KCATOPAN8","2016-03-18T19:15",65.8,2,3,65.1,2,3
"KCATOPAN8","2016-03-18T19:30",64.8,2.9,4,64.2,2,3
"KCATOPAN8","2016-03-18T19:45",64,4,4,63.7,2.9,3
"KCATOPAN8","2016-03-18T20:00",63.9,6,6,63.7,2.9,5
"KCATOPAN8","2016-03-18T20:15",63.7,4.9,6,63.7,2.9,5
"KCATOPAN8","2016-03-18T20:30",63.3,4,5,63.1,2.9,5
"KCATOPAN8","2016-03-18T20:45",63.1,4,5,63,4,5
"KCATOPAN8","2016-03-18T21:00",63,4.9,5,62.6,4,5
"KCATOPAN8","2016-03-18T21:15",62.4,4.9,6,62.2,4,5
"KCATOPAN8","2016-03-18T21:30",62.1,4,5,62.1,2.9,4
"KCATOPAN8","2016-03-18T21:45",62.2,2.9,4,62.2,2.9,4
"KCATOPAN8","2016-03-18T22:00",61.9,4,5,61.3,2.9,4
"KCATOPAN8","2016-03-18T22:15",61,4,5,61,4,4
"KCATOPAN8","2016-03-18T22:30",61.5,4.9,6,61.2,4.9,5
"KCATOPAN8","2016-03-18T22:45",61.3,8.1,9,61,6,6
"KCATOPAN8","2016-03-18T23:00",60.6,6.9,9,60.1,4,6
"KCATOPAN8","2016-03-18T23:15",59.7,6,7,59,4.9,6
"KCATOPAN8","2016-03-18T23:30",58.8,4.9,6,58.6,2.9,4
"KCATOPAN8","2016-03-18T23:45",58.6,8.1,9,58.5,2.9,5
"KCATOPAN8","2016-03-19T00:00",58.6,8.1,8.1,58.6,8.1,8.1
"KCATOPAN8","2016-03-19T00:15",58.6,8.1,8.1,58.6,8.1,8.1
"KCATOPAN8","2016-03-19T00:30",58.6,8.1,8.1,58.6,8.1,8.1
"KCATOPAN8","2016-03-19T00:45",58.6,8.1,8.1,58.6,8.1,8.1
