"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","66ʡF","63ʡF","90ʡ%","VAR","6ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Cloudy"
"1:53 AM","66ʡF","63ʡF","90ʡ%","NNW","5ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Cloudy"
"2:53 AM","66ʡF","63ʡF","90ʡ%","NW","3ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"3:53 AM","66ʡF","63ʡF","90ʡ%","CALM","0ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"4:53 AM","66ʡF","63ʡF","90ʡ%","CALM","0ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Cloudy"
"5:53 AM","67ʡF","63ʡF","87ʡ%","NW","3ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Cloudy"
"6:48 AM","66ʡF","64ʡF","94ʡ%","CALM","0ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"6:53 AM","67ʡF","64ʡF","90ʡ%","SSE","3ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"7:53 AM","69ʡF","64ʡF","84ʡ%","VAR","3ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Cloudy"
"8:36 AM","71ʡF","63ʡF","75ʡ%","SSE","7ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Mostly Cloudy"
"8:53 AM","71ʡF","63ʡF","75ʡ%","CALM","0ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Partly Cloudy"
"9:53 AM","73ʡF","64ʡF","73ʡ%","WSW","7ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Partly Cloudy"
"10:53 AM","74ʡF","64ʡF","71ʡ%","WSW","7ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"11:53 AM","74ʡF","64ʡF","71ʡ%","WSW","10ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"12:53 PM","74ʡF","63ʡF","68ʡ%","W","13ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"1:53 PM","75ʡF","63ʡF","66ʡ%","WSW","12ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"2:53 PM","75ʡF","64ʡF","69ʡ%","WSW","12ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"3:53 PM","74ʡF","64ʡF","71ʡ%","W","12ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Partly Cloudy"
"4:53 PM","72ʡF","64ʡF","76ʡ%","W","12ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"5:53 PM","70ʡF","64ʡF","81ʡ%","WSW","14ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"6:53 PM","69ʡF","63ʡF","81ʡ%","W","12ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"7:53 PM","68ʡF","63ʡF","84ʡ%","WSW","9ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"8:53 PM","67ʡF","63ʡF","87ʡ%","W","9ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Partly Cloudy"
"9:20 PM","67ʡF","63ʡF","87ʡ%","W","10ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Mostly Cloudy"
"9:53 PM","67ʡF","63ʡF","87ʡ%","W","10ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Mostly Cloudy"
"10:53 PM","67ʡF","63ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Mostly Cloudy"
"11:53 PM","66ʡF","63ʡF","90ʡ%","WSW","7ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Mostly Cloudy"
