"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2022-05-19|12:43 AM","60ʡF","55ʡF","83ʡ%","ESE","3ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"2022-05-19|12:53 AM","60ʡF","55ʡF","83ʡ%","SSE","6ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"2022-05-19|1:53 AM","60ʡF","55ʡF","83ʡ%","SSE","3ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Cloudy"
"2022-05-19|2:53 AM","61ʡF","55ʡF","81ʡ%","VAR","5ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2022-05-19|3:53 AM","61ʡF","55ʡF","81ʡ%","SE","3ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2022-05-19|4:53 AM","61ʡF","55ʡF","81ʡ%","SSE","6ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Cloudy"
"2022-05-19|5:53 AM","60ʡF","55ʡF","83ʡ%","VAR","6ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2022-05-19|6:53 AM","61ʡF","55ʡF","81ʡ%","CALM","0ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Haze"
"2022-05-19|7:53 AM","61ʡF","55ʡF","81ʡ%","SSE","5ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Haze"
"2022-05-19|8:53 AM","61ʡF","55ʡF","81ʡ%","VAR","3ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Haze"
"2022-05-19|9:53 AM","62ʡF","55ʡF","78ʡ%","CALM","0ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Haze"
"2022-05-19|10:53 AM","61ʡF","56ʡF","83ʡ%","W","6ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Haze"
"2022-05-19|11:53 AM","62ʡF","56ʡF","80ʡ%","WSW","8ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2022-05-19|12:53 PM","62ʡF","56ʡF","80ʡ%","WSW","9ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Cloudy"
"2022-05-19|1:10 PM","63ʡF","56ʡF","78ʡ%","WSW","10ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Haze"
"2022-05-19|1:53 PM","64ʡF","56ʡF","75ʡ%","WSW","7ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Cloudy"
"2022-05-19|2:53 PM","64ʡF","55ʡF","72ʡ%","WSW","12ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Cloudy"
"2022-05-19|3:53 PM","64ʡF","55ʡF","72ʡ%","W","13ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Cloudy"
"2022-05-19|4:53 PM","62ʡF","55ʡF","78ʡ%","WSW","12ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Haze"
"2022-05-19|5:53 PM","61ʡF","55ʡF","81ʡ%","W","12ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Cloudy"
"2022-05-19|6:53 PM","61ʡF","55ʡF","81ʡ%","WSW","8ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Cloudy"
"2022-05-19|7:53 PM","60ʡF","55ʡF","83ʡ%","WSW","7ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Cloudy"
"2022-05-19|8:53 PM","60ʡF","55ʡF","83ʡ%","VAR","5ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Cloudy"
"2022-05-19|9:53 PM","60ʡF","55ʡF","83ʡ%","VAR","3ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Cloudy"
"2022-05-19|10:50 PM","61ʡF","55ʡF","82ʡ%","CALM","0ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Cloudy"
"2022-05-19|10:53 PM","61ʡF","55ʡF","81ʡ%","SE","7ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Cloudy"
"2022-05-19|11:53 PM","60ʡF","54ʡF","80ʡ%","SSE","9ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Cloudy"
