"Date","Time","Temperature","Wind Speed","Wind Gust","Station"
"2025-01-07","01:50","55","3","0","KLAX"
"2025-01-07","01:53","55","0","0","KLAX"
"2025-01-07","02:53","53","0","0","KLAX"
"2025-01-07","03:53","53","3","0","KLAX"
"2025-01-07","04:53","51","0","0","KLAX"
"2025-01-07","05:53","50","0","0","KLAX"
"2025-01-07","06:53","51","5","0","KLAX"
"2025-01-07","07:53","50","0","0","KLAX"
"2025-01-07","08:53","52","3","0","KLAX"
"2025-01-07","09:53","57","3","0","KLAX"
"2025-01-07","10:53","65","10","0","KLAX"
"2025-01-07","11:53","69","23","30","KLAX"
"2025-01-07","12:53","71","14","29","KLAX"
"2025-01-07","13:53","71","14","26","KLAX"
"2025-01-07","14:53","72","25","37","KLAX"
"2025-01-07","15:53","71","25","33","KLAX"
"2025-01-07","16:53","70","21","36","KLAX"
"2025-01-07","17:53","68","25","41","KLAX"
"2025-01-07","18:53","67","21","31","KLAX"
"2025-01-07","19:53","66","29","43","KLAX"
"2025-01-07","20:53","66","23","40","KLAX"
"2025-01-07","21:53","64","18","32","KLAX"
"2025-01-07","22:53","64","20","31","KLAX"
"2025-01-07","23:20","64","22","35","KLAX"
"2025-01-07","23:53","64","20","40","KLAX"
"2025-01-08","00:53","63","18","32","KLAX"
"2025-01-07","01:50","55","3","0","KSMO"
"2025-01-07","01:53","55","0","0","KSMO"
"2025-01-07","02:53","53","0","0","KSMO"
"2025-01-07","03:53","53","3","0","KSMO"
"2025-01-07","04:53","51","0","0","KSMO"
"2025-01-07","05:53","50","0","0","KSMO"
"2025-01-07","06:53","51","5","0","KSMO"
"2025-01-07","07:53","50","0","0","KSMO"
"2025-01-07","08:53","52","3","0","KSMO"
"2025-01-07","09:53","57","3","0","KSMO"
"2025-01-07","10:53","65","10","0","KSMO"
"2025-01-07","11:53","69","23","30","KSMO"
"2025-01-07","12:53","71","14","29","KSMO"
"2025-01-07","13:53","71","14","26","KSMO"
"2025-01-07","14:53","72","25","37","KSMO"
"2025-01-07","15:53","71","25","33","KSMO"
"2025-01-07","16:53","70","21","36","KSMO"
"2025-01-07","17:53","68","25","41","KSMO"
"2025-01-07","18:53","67","21","31","KSMO"
"2025-01-07","19:53","66","29","43","KSMO"
"2025-01-07","20:53","66","23","40","KSMO"
"2025-01-07","21:53","64","18","32","KSMO"
"2025-01-07","22:53","64","20","31","KSMO"
"2025-01-07","23:20","64","22","35","KSMO"
"2025-01-07","23:53","64","20","40","KSMO"
"2025-01-08","00:53","63","18","32","KSMO"
"2025-01-07","01:53","55","0","0","KTOA"
"2025-01-07","02:53","54","0","0","KTOA"
"2025-01-07","03:53","52","0","0","KTOA"
"2025-01-07","04:53","51","0","0","KTOA"
"2025-01-07","05:53","50","0","0","KTOA"
"2025-01-07","06:53","51","0","0","KTOA"
"2025-01-07","07:53","51","0","0","KTOA"
"2025-01-07","08:07","51","0","0","KTOA"
"2025-01-07","08:53","52","0","0","KTOA"
"2025-01-07","09:53","57","0","0","KTOA"
"2025-01-07","10:53","65","0","0","KTOA"
"2025-01-07","11:53","69","10","22","KTOA"
"2025-01-07","12:53","71","6","20","KTOA"
"2025-01-07","13:53","74","0","0","KTOA"
"2025-01-07","14:53","74","0","0","KTOA"
"2025-01-07","15:53","72","13","30","KTOA"
"2025-01-07","16:53","71","0","0","KTOA"
"2025-01-07","17:53","69","0","0","KTOA"
"2025-01-07","18:53","67","0","0","KTOA"
"2025-01-07","19:53","67","0","0","KTOA"
"2025-01-07","20:53","67","10","28","KTOA"
"2025-01-07","21:53","66","16","35","KTOA"
"2025-01-07","22:53","65","6","17","KTOA"
"2025-01-07","23:53","64","7","0","KTOA"
"2025-01-08","00:53","63","6","0","KTOA"
"2025-01-07","00:04","49.8","0","0","KCABEVER36"
"2025-01-07","00:09","48.7","0","0","KCABEVER36"
"2025-01-07","00:14","49.1","0","0","KCABEVER36"
"2025-01-07","00:19","49.1","0","0","KCABEVER36"
"2025-01-07","00:24","48.7","0","0","KCABEVER36"
"2025-01-07","00:29","48.9","0","0","KCABEVER36"
"2025-01-07","00:34","48.2","0","0","KCABEVER36"
"2025-01-07","00:39","47.8","0","0","KCABEVER36"
"2025-01-07","00:44","47.8","0","0","KCABEVER36"
"2025-01-07","00:49","48","2","3.4","KCABEVER36"
"2025-01-07","00:54","48.2","1.3","2.2","KCABEVER36"
"2025-01-07","00:59","47.3","2.2","3.4","KCABEVER36"
"2025-01-07","01:04","48","0.4","1.1","KCABEVER36"
"2025-01-07","01:09","48","0.4","1.1","KCABEVER36"
"2025-01-07","01:14","47.3","1.1","1.1","KCABEVER36"
"2025-01-07","01:19","46.4","0","0","KCABEVER36"
"2025-01-07","01:24","47.5","0","0","KCABEVER36"
"2025-01-07","01:29","47.8","0","0","KCABEVER36"
"2025-01-07","01:34","47.8","0","0","KCABEVER36"
"2025-01-07","01:39","46.9","0","0","KCABEVER36"
"2025-01-07","01:44","46.9","0","0","KCABEVER36"
"2025-01-07","01:49","46.9","0","0","KCABEVER36"
"2025-01-07","01:54","46.9","0","0","KCABEVER36"
"2025-01-07","01:59","46.4","0","0","KCABEVER36"
"2025-01-07","02:04","46.6","0","0","KCABEVER36"
"2025-01-07","02:09","46.8","0.7","1.1","KCABEVER36"
"2025-01-07","02:14","47.3","1.8","2.2","KCABEVER36"
"2025-01-07","02:19","48.2","0.2","1.1","KCABEVER36"
"2025-01-07","02:24","49.1","0.4","1.1","KCABEVER36"
"2025-01-07","02:29","50.4","1.8","2.2","KCABEVER36"
"2025-01-07","02:34","50.5","0","0","KCABEVER36"
"2025-01-07","02:39","50.9","0.2","1.1","KCABEVER36"
"2025-01-07","02:44","51.1","0.2","1.1","KCABEVER36"
"2025-01-07","02:49","50.9","0","0","KCABEVER36"
"2025-01-07","02:54","50.9","0.4","1.1","KCABEVER36"
"2025-01-07","02:59","50.9","0","0","KCABEVER36"
"2025-01-07","03:04","51.3","2.9","3.4","KCABEVER36"
"2025-01-07","03:09","51.8","1.6","3.4","KCABEVER36"
"2025-01-07","03:14","52.9","1.6","2.2","KCABEVER36"
"2025-01-07","03:19","52.9","3.8","4.5","KCABEVER36"
"2025-01-07","03:24","53.2","2.7","4.5","KCABEVER36"
"2025-01-07","03:29","53.2","2.5","3.4","KCABEVER36"
"2025-01-07","03:34","53.6","1.3","2.2","KCABEVER36"
"2025-01-07","03:39","54.1","2","3.4","KCABEVER36"
"2025-01-07","03:44","54.1","2","3.4","KCABEVER36"
"2025-01-07","03:49","54.7","2.2","3.4","KCABEVER36"
"2025-01-07","03:54","54.7","2.5","3.4","KCABEVER36"
"2025-01-07","03:59","54.9","2","3.4","KCABEVER36"
"2025-01-07","04:04","54.9","3.1","3.4","KCABEVER36"
"2025-01-07","04:09","54.1","1.8","2.2","KCABEVER36"
"2025-01-07","04:14","54.9","3.4","4.5","KCABEVER36"
"2025-01-07","04:19","55.8","3.8","6.9","KCABEVER36"
"2025-01-07","04:24","56.1","4.3","5.8","KCABEVER36"
"2025-01-07","04:29","57","6","10.3","KCABEVER36"
"2025-01-07","04:34","57.7","6","9.2","KCABEVER36"
"2025-01-07","04:39","57.9","4","6.9","KCABEVER36"
"2025-01-07","04:44","58.8","3.8","5.8","KCABEVER36"
"2025-01-07","04:49","58.8","4","5.8","KCABEVER36"
"2025-01-07","04:54","58.6","3.6","5.8","KCABEVER36"
