"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"1:53 AM","55ʡF","53ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2:53 AM","54ʡF","52ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"3:53 AM","52ʡF","50ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"4:53 AM","51ʡF","49ʡF","92ʡ%","CALM","0ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"5:53 AM","50ʡF","48ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"6:53 AM","51ʡF","48ʡF","89ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"7:53 AM","51ʡF","49ʡF","92ʡ%","CALM","0ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair"
"8:07 AM","51ʡF","48ʡF","89ʡ%","CALM","0ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fair"
"8:53 AM","52ʡF","49ʡF","89ʡ%","CALM","0ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fair"
"9:53 AM","57ʡF","49ʡF","74ʡ%","CALM","0ʡmph","0ʡmph","29.91ʡin","0.0ʡin","Fair"
"10:53 AM","65ʡF","46ʡF","50ʡ%","CALM","0ʡmph","0ʡmph","29.91ʡin","0.0ʡin","Fair"
"11:53 AM","69ʡF","35ʡF","29ʡ%","NE","10ʡmph","22ʡmph","29.92ʡin","0.0ʡin","Fair"
"12:53 PM","71ʡF","33ʡF","25ʡ%","VAR","6ʡmph","20ʡmph","29.89ʡin","0.0ʡin","Fair"
"1:53 PM","74ʡF","33ʡF","22ʡ%","","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2:53 PM","74ʡF","33ʡF","22ʡ%","","0ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"3:53 PM","72ʡF","33ʡF","24ʡ%","NNE","13ʡmph","30ʡmph","29.86ʡin","0.0ʡin","Fair"
"4:53 PM","71ʡF","32ʡF","24ʡ%","","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"5:53 PM","69ʡF","29ʡF","22ʡ%","","0ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Fair"
"6:53 PM","67ʡF","27ʡF","22ʡ%","","0ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Fair"
"7:53 PM","67ʡF","28ʡF","23ʡ%","","0ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Fair"
"8:53 PM","67ʡF","28ʡF","23ʡ%","NE","10ʡmph","28ʡmph","29.96ʡin","0.0ʡin","Mostly Cloudy"
"9:53 PM","66ʡF","29ʡF","25ʡ%","NNE","16ʡmph","35ʡmph","29.97ʡin","0.0ʡin","Fair"
"10:53 PM","65ʡF","29ʡF","26ʡ%","VAR","6ʡmph","17ʡmph","29.98ʡin","0.0ʡin","Cloudy"
"11:53 PM","64ʡF","29ʡF","27ʡ%","VAR","7ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Cloudy"
"12:53 AM","63ʡF","17ʡF","17ʡ%","N","6ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Cloudy"
