"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN938","2025-01-07T00:00",52.9,0,0,52.7,0,0
"KCALOSAN938","2025-01-07T00:15",52.9,0,0,52.5,0,0
"KCALOSAN938","2025-01-07T00:30",52.9,0,0,52,0,0
"KCALOSAN938","2025-01-07T00:45",52,0,0,51.4,0,0
"KCALOSAN938","2025-01-07T01:00",51.4,0,0,50.7,0,0
"KCALOSAN938","2025-01-07T01:15",50.7,0,0,50.4,0,0
"KCALOSAN938","2025-01-07T01:30",50.4,0,0,50.2,0,0
"KCALOSAN938","2025-01-07T01:45",50.2,0,0,49.8,0,0
"KCALOSAN938","2025-01-07T02:00",49.8,0,0,49.5,0,0
"KCALOSAN938","2025-01-07T02:15",49.3,0,0,48.6,0,0
"KCALOSAN938","2025-01-07T02:30",48.6,0,0,47.5,0,0
"KCALOSAN938","2025-01-07T02:45",48.7,0,0,47.5,0,0
"KCALOSAN938","2025-01-07T03:00",50.2,0,0,48.9,0,0
"KCALOSAN938","2025-01-07T03:15",50.2,0,0,49.8,0,0
"KCALOSAN938","2025-01-07T03:30",50.9,0,0,49.8,0,0
"KCALOSAN938","2025-01-07T03:45",50.7,0,0,50,0,0
"KCALOSAN938","2025-01-07T04:00",54.5,0.2,1.1,50.7,0,0
"KCALOSAN938","2025-01-07T04:15",56.3,0.2,1.1,54.5,0,0
"KCALOSAN938","2025-01-07T04:30",58.3,1.3,2.2,56.3,0,0
"KCALOSAN938","2025-01-07T04:45",60.6,2.2,4.5,58.3,0,0
"KCALOSAN938","2025-01-07T05:00",61.5,2.5,6.9,60.6,0,0
"KCALOSAN938","2025-01-07T05:15",61.7,2.9,6.9,61.2,0,0
"KCALOSAN938","2025-01-07T05:30",61.5,1.3,4.5,61.2,0,0
"KCALOSAN938","2025-01-07T05:45",61.2,0,1.1,60.4,0,0
"KCALOSAN938","2025-01-07T06:00",60.4,1.3,2.2,59.5,0,0
"KCALOSAN938","2025-01-07T06:15",60.6,0.7,2.2,59.9,0,0
"KCALOSAN938","2025-01-07T06:30",60.6,1.8,3.4,60.3,0,0
"KCALOSAN938","2025-01-07T06:45",60.3,1.3,3.4,60.1,0,0
"KCALOSAN938","2025-01-07T07:00",60.4,1.8,4.5,60.1,0,0
"KCALOSAN938","2025-01-07T07:15",60.6,2.9,5.8,60.4,0,0
"KCALOSAN938","2025-01-07T07:30",61.5,2.7,6.9,60.8,0,1.1
"KCALOSAN938","2025-01-07T07:45",62.1,3.4,6.9,61.5,0,1.1
"KCALOSAN938","2025-01-07T08:00",62.6,5.8,9.2,62.1,0,2.2
"KCALOSAN938","2025-01-07T08:15",63,4.5,8.1,62.6,0,3.4
"KCALOSAN938","2025-01-07T08:30",62.6,4,9.2,62.2,0.2,3.4
"KCALOSAN938","2025-01-07T08:45",62.4,5.1,8.1,62.2,0,2.2
"KCALOSAN938","2025-01-07T09:00",62.4,4.9,8.1,62.2,0.2,3.4
"KCALOSAN938","2025-01-07T09:15",62.8,4.7,9.2,62.4,0,3.4
"KCALOSAN938","2025-01-07T09:30",62.8,5.4,9.2,62.6,0.2,3.4
"KCALOSAN938","2025-01-07T09:45",62.8,7.8,14.8,61.9,0,2.2
"KCALOSAN938","2025-01-07T10:00",62.1,5.6,13.6,61.7,0.9,4.5
"KCALOSAN938","2025-01-07T10:15",62.2,5.8,10.3,61.9,0.4,3.4
"KCALOSAN938","2025-01-07T10:30",62.6,4.5,11.4,62.4,0,3.4
"KCALOSAN938","2025-01-07T10:45",62.8,7.4,12.5,62.4,0.2,3.4
"KCALOSAN938","2025-01-07T11:00",63.7,5.4,12.5,62.8,0,4.5
"KCALOSAN938","2025-01-07T11:15",64.6,5.1,9.2,63.7,0,2.2
"KCALOSAN938","2025-01-07T11:30",65.3,5.4,11.4,64.6,0,1.1
"KCALOSAN938","2025-01-07T11:45",65.3,4.5,8.1,65.3,0,1.1
"KCALOSAN938","2025-01-07T12:00",65.7,5.1,9.2,65.3,0,1.1
"KCALOSAN938","2025-01-07T12:15",66.2,5.4,9.2,65.8,0,1.1
"KCALOSAN938","2025-01-07T12:30",67.1,4.9,9.2,66,0,2.2
"KCALOSAN938","2025-01-07T12:45",67.3,2.5,4.5,67.1,0,0
"KCALOSAN938","2025-01-07T13:00",68,3.8,6.9,67.5,0,0
"KCALOSAN938","2025-01-07T13:15",68.2,6.9,9.2,67.5,0,1.1
"KCALOSAN938","2025-01-07T13:30",68,4.5,10.3,67.5,0,2.2
"KCALOSAN938","2025-01-07T13:45",67.8,6.3,13.6,67.5,0,1.1
"KCALOSAN938","2025-01-07T14:00",68,7.4,11.4,67.6,0,3.4
"KCALOSAN938","2025-01-07T14:15",68,4.7,10.3,67.6,0,2.2
"KCALOSAN938","2025-01-07T14:30",67.8,4.5,8.1,67.1,0.2,4.5
"KCALOSAN938","2025-01-07T14:45",67.6,5.8,9.2,67.3,0,1.1
"KCALOSAN938","2025-01-07T15:00",67.8,8.9,17.2,67.6,0,1.1
"KCALOSAN938","2025-01-07T15:15",67.8,5.8,17.2,67.3,0.2,4.5
"KCALOSAN938","2025-01-07T15:30",67.3,7.6,13.6,67.3,0,2.2
"KCALOSAN938","2025-01-07T15:45",67.3,7.6,15.9,67.1,0,3.4
"KCALOSAN938","2025-01-07T16:00",67.1,5.8,9.2,66.9,0,3.4
"KCALOSAN938","2025-01-07T16:15",66.9,6.9,12.5,66.4,0,2.2
"KCALOSAN938","2025-01-07T16:30",66.4,5.4,12.5,65.8,0,3.4
"KCALOSAN938","2025-01-07T16:45",66,4.9,12.5,65.7,0.2,3.4
"KCALOSAN938","2025-01-07T17:00",65.7,8.1,12.5,65.5,0.2,2.2
"KCALOSAN938","2025-01-07T17:15",65.5,9.4,21.7,65.1,0.7,6.9
"KCALOSAN938","2025-01-07T17:30",65.1,8.5,13.6,64.9,0,6.9
"KCALOSAN938","2025-01-07T17:45",64.9,7.6,15.9,64.6,0.9,5.8
"KCALOSAN938","2025-01-07T18:00",64.9,9.2,15.9,64.6,0.4,8.1
"KCALOSAN938","2025-01-07T18:15",64.9,11.6,19.5,64.6,0.7,4.5
"KCALOSAN938","2025-01-07T18:30",64.8,9.2,19.5,64.6,0.7,8.1
"KCALOSAN938","2025-01-07T18:45",64.6,8.5,13.6,64.4,0,3.4
"KCALOSAN938","2025-01-07T19:00",64.2,6,10.3,64,0,2.2
"KCALOSAN938","2025-01-07T19:15",64,5.4,10.3,63.7,0,1.1
"KCALOSAN938","2025-01-07T19:30",64,8.5,15.9,63.5,0,1.1
"KCALOSAN938","2025-01-07T19:45",64,9.8,21.7,63.5,0,2.2
"KCALOSAN938","2025-01-07T20:00",63.5,4.9,10.3,63.1,0,1.1
"KCALOSAN938","2025-01-07T20:15",63,8.9,12.5,62.8,0,1.1
"KCALOSAN938","2025-01-07T20:30",63,10.1,14.8,62.8,0,4.5
"KCALOSAN938","2025-01-07T20:45",62.8,8.7,18.3,62.6,0.7,4.5
"KCALOSAN938","2025-01-07T21:00",62.8,8.1,21.7,62.6,0.7,9.2
"KCALOSAN938","2025-01-07T21:15",62.8,8.1,21.7,62.6,0.7,9.2
"KCALOSAN938","2025-01-07T21:30",62.8,8.1,21.7,62.6,0.7,9.2
"KCALOSAN938","2025-01-07T21:45",62.8,8.1,21.7,62.6,0.7,9.2
