"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA4447","2025-01-07T00:00",48.6,0,0,48.2,0,0
"KCASANTA4447","2025-01-07T00:15",48.6,0,0,48.2,0,0
"KCASANTA4447","2025-01-07T00:30",48.2,0,0,48,0,0
"KCASANTA4447","2025-01-07T00:45",48.2,0,0,47.8,0,0
"KCASANTA4447","2025-01-07T01:00",49.5,0,1.1,48,0,0
"KCASANTA4447","2025-01-07T01:15",47.8,0,0,47.7,0,0
"KCASANTA4447","2025-01-07T01:30",50.4,0.7,2.2,48.2,0,0
"KCASANTA4447","2025-01-07T01:45",48,0,0,47.7,0,0
"KCASANTA4447","2025-01-07T02:00",47.7,0,0,47.3,0,0
"KCASANTA4447","2025-01-07T02:15",49.5,0,1.1,47.3,0,0
"KCASANTA4447","2025-01-07T02:30",48,0,0,46.9,0,0
"KCASANTA4447","2025-01-07T02:45",48.4,0.2,1.1,46.4,0,0
"KCASANTA4447","2025-01-07T03:00",47.8,0,0,46.4,0,0
"KCASANTA4447","2025-01-07T03:15",47.5,0,0,46.4,0,0
"KCASANTA4447","2025-01-07T03:30",46.8,0,0,46.2,0,0
"KCASANTA4447","2025-01-07T03:45",46.2,0,0,45.9,0,0
"KCASANTA4447","2025-01-07T04:00",46.9,0.2,1.1,46.6,0,0
"KCASANTA4447","2025-01-07T04:15",46.8,0,0,46,0,0
"KCASANTA4447","2025-01-07T04:30",48,0.7,3.4,47.5,0,0
"KCASANTA4447","2025-01-07T04:45",54.3,2.2,4.5,49.6,0,2.2
"KCASANTA4447","2025-01-07T05:00",61.5,3.8,8.1,56.5,0,2.2
"KCASANTA4447","2025-01-07T05:15",62.4,3.1,6.9,61.5,0,3.4
"KCASANTA4447","2025-01-07T05:30",61.5,3.8,8.1,56.5,0,2.2
"KCASANTA4447","2025-01-07T05:45",62.1,2.2,4.5,61.9,0,1.1
"KCASANTA4447","2025-01-07T06:00",62.2,2.2,5.8,61.9,0,2.2
"KCASANTA4447","2025-01-07T06:15",62.2,4.7,5.8,62.1,0,4.5
"KCASANTA4447","2025-01-07T06:30",62.2,3.4,9.2,62.1,1.3,5.8
"KCASANTA4447","2025-01-07T06:45",61.9,2,6.9,61.7,1.6,5.8
"KCASANTA4447","2025-01-07T07:00",62.1,3.4,11.4,61.5,0.9,6.9
"KCASANTA4447","2025-01-07T07:15",62.1,3.6,8.1,61.9,0.5,4.5
"KCASANTA4447","2025-01-07T07:30",62.4,6,14.8,61.7,0,3.4
"KCASANTA4447","2025-01-07T07:45",62.8,7.4,14.8,62.2,0.9,4.5
"KCASANTA4447","2025-01-07T08:00",62.8,3.4,9.2,62.4,0.7,2.2
"KCASANTA4447","2025-01-07T08:15",63.5,6,12.5,62.8,1.1,5.8
"KCASANTA4447","2025-01-07T08:30",63.5,4.5,13.7,63.3,0.9,10.3
"KCASANTA4447","2025-01-07T08:45",62.8,3.4,9.2,62.4,0.7,2.2
"KCASANTA4447","2025-01-07T09:00",63.1,6,18.3,63,1.3,4.5
"KCASANTA4447","2025-01-07T09:15",63.1,8.1,17.2,63,2.9,8.1
"KCASANTA4447","2025-01-07T09:30",62.4,7.8,18.3,62.4,7.8,18.3
"KCASANTA4447","2025-01-07T09:45",62.1,2.2,9.2,61.7,1.1,6.9
"KCASANTA4447","2025-01-07T10:00",62.1,7.4,14.8,61.9,0,3.4
"KCASANTA4447","2025-01-07T10:15",63,6.9,12.5,62.1,1.3,5.8
"KCASANTA4447","2025-01-07T10:30",63.9,5.8,10.3,63.1,1.3,3.4
"KCASANTA4447","2025-01-07T10:45",64.2,4.9,12.5,63.7,0.9,8.1
"KCASANTA4447","2025-01-07T11:00",64.6,7.6,18.3,64.4,2.2,6.9
"KCASANTA4447","2025-01-07T11:15",65.7,7.4,18.3,64.6,1.1,5.8
"KCASANTA4447","2025-01-07T11:30",66,5.8,10.3,65.5,1.6,3.4
"KCASANTA4447","2025-01-07T11:45",66.4,8.1,17.2,65.8,2,10.3
"KCASANTA4447","2025-01-07T12:00",66.7,6.3,12.5,66.4,0.7,3.4
"KCASANTA4447","2025-01-07T12:15",67.5,4,10.3,66.9,0.5,2.2
"KCASANTA4447","2025-01-07T12:30",67.6,2.5,6.9,67.5,0.2,1.1
"KCASANTA4447","2025-01-07T12:45",68.4,2.9,6.9,67.8,0,1.1
"KCASANTA4447","2025-01-07T13:00",69.3,7.8,12.5,68.4,0,3.4
"KCASANTA4447","2025-01-07T13:15",69.6,4,10.3,69.3,2,9.2
"KCASANTA4447","2025-01-07T13:30",69.4,6.3,17.2,69.1,0.9,3.4
"KCASANTA4447","2025-01-07T13:45",69.3,2.7,6.9,69.3,1.1,4.5
"KCASANTA4447","2025-01-07T14:00",68.9,4.9,9.2,68.9,1.6,2.2
"KCASANTA4447","2025-01-07T14:15",68.9,4.9,12.5,68.7,0.9,4.5
"KCASANTA4447","2025-01-07T14:30",68.9,5.8,8.1,68.7,0.7,3.4
"KCASANTA4447","2025-01-07T14:45",69.3,5.8,12.5,68.5,1.6,4.5
"KCASANTA4447","2025-01-07T15:00",68.7,6.3,12.5,68.2,0.9,4.5
"KCASANTA4447","2025-01-07T15:15",68,5.1,12.5,67.8,0.5,2.2
"KCASANTA4447","2025-01-07T15:30",67.6,1.8,12.5,67.6,0.9,4.5
"KCASANTA4447","2025-01-07T15:45",67.8,4,9.2,67.6,1.3,4.5
"KCASANTA4447","2025-01-07T16:00",67.6,7.8,14.8,67.6,4.9,10.3
"KCASANTA4447","2025-01-07T16:15",66.9,6.3,11.4,66.9,4.7,8.1
"KCASANTA4447","2025-01-07T16:30",66.9,9.6,14.8,66.7,1.8,8.1
"KCASANTA4447","2025-01-07T16:45",66.7,5.1,11.4,66.7,1.3,8.1
"KCASANTA4447","2025-01-07T17:00",66.6,9.2,13.7,66.6,3.4,9.2
"KCASANTA4447","2025-01-07T17:15",66.4,6.7,15.9,66,1.8,8.1
