"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN8","2025-01-07T00:00",55.2,25.1,26,55,17,23
"KCATOPAN8","2025-01-07T00:15",55.6,25.1,28,55.2,15,24
"KCATOPAN8","2025-01-07T00:30",55.6,25.1,28,55.2,16.1,24
"KCATOPAN8","2025-01-07T00:45",55,23.9,26,54.9,12.1,21
"KCATOPAN8","2025-01-07T01:00",54.9,28,30,54.3,19.9,25
"KCATOPAN8","2025-01-07T01:15",54.5,27.1,32,54.1,17.9,26
"KCATOPAN8","2025-01-07T01:30",54.7,33.1,34,54.1,19.9,26
"KCATOPAN8","2025-01-07T01:45",54.7,30,34,54.3,21.9,29
"KCATOPAN8","2025-01-07T02:00",54.3,34,36,53.6,21,30
"KCATOPAN8","2025-01-07T02:15",53.4,36.9,41,53.2,23.9,34
"KCATOPAN8","2025-01-07T02:30",53.2,36.9,40,53.1,29.1,37
"KCATOPAN8","2025-01-07T02:45",53.6,38.9,41,53.2,23,33
"KCATOPAN8","2025-01-07T03:00",53.2,40,40,53.1,21,36
"KCATOPAN8","2025-01-07T03:15",53.8,38.9,44,53.1,25.9,35
"KCATOPAN8","2025-01-07T03:30",54.1,40.9,45,54,31.1,40
"KCATOPAN8","2025-01-07T03:45",54.1,38,46,54.1,28,40
"KCATOPAN8","2025-01-07T04:00",54.1,38.9,47,54,25.9,39
"KCATOPAN8","2025-01-07T04:15",54.1,43,47,54,25.9,42
"KCATOPAN8","2025-01-07T04:30",54.3,40.9,47,54.1,28,42
"KCATOPAN8","2025-01-07T04:45",54.7,48.1,51,54.1,31.1,43
"KCATOPAN8","2025-01-07T05:00",54.7,50.1,51,54.5,31.1,42
"KCATOPAN8","2025-01-07T05:15",54.5,44.1,56,54.3,32,43
"KCATOPAN8","2025-01-07T05:30",54.5,43,47,54.1,27.1,43
"KCATOPAN8","2025-01-07T05:45",54.3,47,49,54.1,30,40
"KCATOPAN8","2025-01-07T06:00",54.3,44.1,49,54,27.1,38
"KCATOPAN8","2025-01-07T06:15",54,44.1,50,53.4,25.9,39
"KCATOPAN8","2025-01-07T06:30",53.4,45,50,53.1,28,41
"KCATOPAN8","2025-01-07T06:45",53.1,38.9,46,52.9,27.1,36
"KCATOPAN8","2025-01-07T07:00",52.9,34,43,52.5,21.9,34
"KCATOPAN8","2025-01-07T07:15",52.9,36,49,52.7,13,36
"KCATOPAN8","2025-01-07T07:30",53.4,44.1,53,52.9,23,40
"KCATOPAN8","2025-01-07T07:45",53.4,51.9,55,53.4,31.1,44
"KCATOPAN8","2025-01-07T08:00",53.8,53.9,57,53.6,34,49
"KCATOPAN8","2025-01-07T08:15",53.8,53.9,62,53.8,29.1,50
"KCATOPAN8","2025-01-07T08:30",53.8,57,67,53.4,38,50
"KCATOPAN8","2025-01-07T08:45",53.4,57,66,53.2,25.1,46
"KCATOPAN8","2025-01-07T09:00",53.2,48.1,61,53.1,25.1,47
"KCATOPAN8","2025-01-07T09:15",53.1,55.9,63,52.5,30,45
"KCATOPAN8","2025-01-07T09:30",52.9,55,64,52.5,28,50
"KCATOPAN8","2025-01-07T09:45",52.7,66,72,51.8,31.1,54
"KCATOPAN8","2025-01-07T10:00",52.3,61.1,67,51.8,28,48
"KCATOPAN8","2025-01-07T10:15",52.9,60,67,52.3,31.1,50
"KCATOPAN8","2025-01-07T10:30",53.4,57.9,64,52.9,30,51
"KCATOPAN8","2025-01-07T10:45",54.7,51,63,53.8,34,49
"KCATOPAN8","2025-01-07T11:00",55,50.1,56,54.7,23.9,38
"KCATOPAN8","2025-01-07T11:15",55.8,46.1,54,54.9,13,40
"KCATOPAN8","2025-01-07T11:30",56.1,55,58,55.8,25.9,37
"KCATOPAN8","2025-01-07T11:45",56.5,46.1,52,56.1,17.9,37
"KCATOPAN8","2025-01-07T12:00",57,45,55,56.1,23,43
"KCATOPAN8","2025-01-07T12:15",57,57.9,63,56.7,31.1,43
"KCATOPAN8","2025-01-07T12:30",57.7,53.9,62,57,33.1,44
"KCATOPAN8","2025-01-07T12:45",58.3,47,48,57.6,21.9,40
"KCATOPAN8","2025-01-07T13:00",58.1,40.9,49,57.4,15,36
"KCATOPAN8","2025-01-07T13:15",58.3,51.9,52,57.9,21,33
"KCATOPAN8","2025-01-07T13:30",58.3,57.9,58,57.7,27.1,49
"KCATOPAN8","2025-01-07T13:45",58.5,47,52,58.1,30,40
"KCATOPAN8","2025-01-07T14:00",58.8,51.9,55,58.5,25.9,45
"KCATOPAN8","2025-01-07T14:15",58.5,53,61,58.3,34.9,49
"KCATOPAN8","2025-01-07T14:30",58.5,51.9,60,58.3,21,40
"KCATOPAN8","2025-01-07T14:45",58.6,51.9,58,58.5,23.9,38
"KCATOPAN8","2025-01-07T15:00",58.6,53.9,60,58.6,34.9,53
"KCATOPAN8","2025-01-07T15:15",58.6,53,60,58.5,36,46
"KCATOPAN8","2025-01-07T15:30",58.5,48.1,57,58.3,25.1,45
"KCATOPAN8","2025-01-07T15:45",58.3,53.9,66,57.9,33.1,49
"KCATOPAN8","2025-01-07T16:00",58.1,53,65,57.7,31.1,42
"KCATOPAN8","2025-01-07T16:15",57.7,55,56,57.6,34,44
"KCATOPAN8","2025-01-07T16:30",57.6,53.9,62,57.4,29.1,50
"KCATOPAN8","2025-01-07T16:45",57.4,42.1,62,57,25.9,35
"KCATOPAN8","2025-01-07T17:00",57,45,50,56.8,25.1,40
"KCATOPAN8","2025-01-07T17:15",57.4,44.1,75,56.5,25.9,40
"KCATOPAN8","2025-01-07T17:30",56.7,51,60,56.3,25.1,43
"KCATOPAN8","2025-01-07T17:45",56.5,49,53,55.9,29.1,41
"KCATOPAN8","2025-01-07T18:00",56.3,51,63,55.8,28,43
"KCATOPAN8","2025-01-07T18:15",56.3,48.1,61,55.9,34,47
"KCATOPAN8","2025-01-07T18:30",56.3,51,63,55.8,28,43
"KCATOPAN8","2025-01-07T18:45",56.3,51,63,55.8,28,43
