"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"1:53 AM","52ʡF","39ʡF","61ʡ%","VAR","3ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Mostly Cloudy"
"2:53 AM","49ʡF","36ʡF","61ʡ%","E","5ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Mostly Cloudy"
"3:53 AM","49ʡF","33ʡF","54ʡ%","E","5ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Partly Cloudy"
"4:53 AM","49ʡF","31ʡF","50ʡ%","CALM","0ʡmph","0ʡmph","29.94ʡin","0.0ʡin","Partly Cloudy"
"5:53 AM","48ʡF","28ʡF","46ʡ%","E","3ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Mostly Cloudy"
"6:53 AM","49ʡF","27ʡF","43ʡ%","E","3ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Mostly Cloudy"
"7:53 AM","49ʡF","25ʡF","39ʡ%","NE","7ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Partly Cloudy"
"8:53 AM","51ʡF","27ʡF","39ʡ%","E","6ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Partly Cloudy"
"9:53 AM","56ʡF","31ʡF","39ʡ%","ENE","6ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Fair"
"10:53 AM","60ʡF","40ʡF","47ʡ%","E","6ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Fair"
"11:53 AM","61ʡF","43ʡF","52ʡ%","SSE","7ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Fair"
"12:53 PM","64ʡF","40ʡF","41ʡ%","CALM","0ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair"
"1:53 PM","63ʡF","46ʡF","54ʡ%","W","12ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2:53 PM","62ʡF","47ʡF","58ʡ%","W","12ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Fair"
"3:53 PM","60ʡF","49ʡF","67ʡ%","W","10ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Fair"
"4:53 PM","59ʡF","51ʡF","75ʡ%","W","12ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Fair"
"5:53 PM","58ʡF","49ʡF","72ʡ%","SW","6ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"6:53 PM","57ʡF","49ʡF","74ʡ%","ESE","3ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"7:53 PM","57ʡF","48ʡF","72ʡ%","N","6ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Fair"
"8:53 PM","55ʡF","48ʡF","77ʡ%","CALM","0ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"9:53 PM","56ʡF","47ʡF","72ʡ%","CALM","0ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Fair"
"10:53 PM","55ʡF","45ʡF","69ʡ%","ENE","5ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Fair"
"11:53 PM","55ʡF","45ʡF","69ʡ%","VAR","5ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair"
"12:53 AM","51ʡF","44ʡF","77ʡ%","ENE","5ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fair"
