"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2025-1-17|1:53 AM","49ʡF","43ʡF","80ʡ%","E","5ʡmph","0ʡmph","30.05ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|2:53 AM","49ʡF","44ʡF","83ʡ%","ENE","5ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|3:51 AM","48ʡF","43ʡF","82ʡ%","E","3ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|3:53 AM","48ʡF","42ʡF","80ʡ%","E","3ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|4:53 AM","48ʡF","42ʡF","80ʡ%","E","6ʡmph","0ʡmph","30.05ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|5:53 AM","46ʡF","40ʡF","79ʡ%","E","5ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|6:29 AM","47ʡF","40ʡF","77ʡ%","E","5ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|6:46 AM","47ʡF","39ʡF","74ʡ%","ENE","6ʡmph","0ʡmph","30.07ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|6:53 AM","47ʡF","39ʡF","74ʡ%","ENE","6ʡmph","0ʡmph","30.07ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|7:53 AM","46ʡF","38ʡF","73ʡ%","ENE","8ʡmph","0ʡmph","30.07ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|8:53 AM","50ʡF","40ʡF","68ʡ%","ENE","6ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|9:53 AM","56ʡF","44ʡF","64ʡ%","VAR","7ʡmph","0ʡmph","30.09ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|10:53 AM","58ʡF","44ʡF","60ʡ%","E","6ʡmph","0ʡmph","30.11ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|11:53 AM","59ʡF","43ʡF","55ʡ%","SSE","6ʡmph","0ʡmph","30.11ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|12:53 PM","58ʡF","42ʡF","56ʡ%","W","9ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|1:53 PM","58ʡF","43ʡF","58ʡ%","WSW","8ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|2:53 PM","60ʡF","44ʡF","55ʡ%","WSW","9ʡmph","0ʡmph","30.03ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|3:53 PM","59ʡF","43ʡF","55ʡ%","SW","10ʡmph","23ʡmph","30.02ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|4:53 PM","57ʡF","44ʡF","62ʡ%","SW","10ʡmph","0ʡmph","30.02ʡin","0.0ʡin","Partly Cloudy"
"2025-1-17|5:53 PM","56ʡF","45ʡF","67ʡ%","WSW","9ʡmph","0ʡmph","30.02ʡin","0.0ʡin","Fair"
"2025-1-17|6:53 PM","54ʡF","45ʡF","72ʡ%","WSW","7ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-17|7:53 PM","54ʡF","45ʡF","72ʡ%","W","5ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-17|8:53 PM","54ʡF","45ʡF","72ʡ%","SW","5ʡmph","0ʡmph","30.05ʡin","0.0ʡin","Fair"
"2025-1-17|9:53 PM","53ʡF","44ʡF","71ʡ%","CALM","0ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Fair"
"2025-1-17|10:53 PM","52ʡF","45ʡF","77ʡ%","E","3ʡmph","0ʡmph","30.07ʡin","0.0ʡin","Fair"
"2025-1-17|11:53 PM","53ʡF","45ʡF","74ʡ%","CALM","0ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|12:11 AM","52ʡF","39ʡF","61ʡ%","ESE","3ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Mostly Cloudy"
"2025-1-17|12:53 AM","52ʡF","44ʡF","74ʡ%","VAR","3ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Mostly Cloudy"
