"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-10","1:53 AM","54","31","41","NNW","3","0","30.09","Fair","0.0"
"2025-01-10","2:53 AM","50","29","44","CALM","0","0","30.11","Fair","0.0"
"2025-01-10","3:53 AM","48","28","46","CALM","0","0","30.12","Fair","0.0"
"2025-01-10","4:53 AM","49","31","50","CALM","0","0","30.12","Fair","0.0"
"2025-01-10","5:53 AM","47","30","52","CALM","0","0","30.13","Fair","0.0"
"2025-01-10","6:53 AM","48","32","54","CALM","0","0","30.15","Fair","0.0"
"2025-01-10","7:53 AM","50","33","52","CALM","0","0","30.17","Fair","0.0"
"2025-01-10","8:53 AM","54","32","43","NNW","5","0","30.19","Fair","0.0"
"2025-01-10","9:53 AM","63","29","28","NW","3","0","30.19","Fair","0.0"
"2025-01-10","10:53 AM","65","31","28","N","5","0","30.20","Fair","0.0"
"2025-01-10","11:53 AM","67","33","28","CALM","0","0","30.19","Fair","0.0"
"2025-01-10","12:53 PM","69","34","27","WSW","7","0","30.14","Fair","0.0"
"2025-01-10","1:53 PM","69","33","26","W","9","0","30.12","Fair","0.0"
"2025-01-10","2:53 PM","67","32","27","W","8","0","30.10","Fair","0.0"
"2025-01-10","3:53 PM","68","32","26","SW","8","0","30.09","Partly Cloudy","0.0"
"2025-01-10","4:53 PM","65","37","36","S","5","0","30.09","Partly Cloudy","0.0"
"2025-01-10","5:53 PM","63","40","43","SSE","3","0","30.08","Partly Cloudy","0.0"
"2025-01-10","6:53 PM","62","40","44","NW","3","0","30.07","Fair","0.0"
"2025-01-10","7:53 PM","61","40","46","CALM","0","0","30.07","Fair","0.0"
"2025-01-10","8:53 PM","60","39","46","SSE","5","0","30.07","Partly Cloudy","0.0"
"2025-01-10","9:53 PM","60","35","39","W","12","0","30.05","Mostly Cloudy","0.0"
"2025-01-10","10:53 PM","57","43","59","WSW","8","0","30.04","Mostly Cloudy","0.0"
"2025-01-10","11:53 PM","57","43","59","CALM","0","0","30.03","Partly Cloudy","0.0"
"2025-01-11","12:53 AM","55","46","72","ESE","3","0","30.00","Mostly Cloudy","0.0"
"2025-01-11","1:53 AM","52","39","61","VAR","3","0","29.98","Mostly Cloudy","0.0"
"2025-01-11","2:53 AM","49","36","61","E","5","0","29.98","Mostly Cloudy","0.0"
"2025-01-11","3:53 AM","49","33","54","E","5","0","29.96","Partly Cloudy","0.0"
"2025-01-11","4:53 AM","49","31","50","CALM","0","0","29.94","Partly Cloudy","0.0"
"2025-01-11","5:53 AM","48","28","46","E","3","0","29.93","Mostly Cloudy","0.0"
"2025-01-11","6:53 AM","49","27","43","E","3","0","29.93","Mostly Cloudy","0.0"
"2025-01-11","7:53 AM","49","25","39","NE","7","0","29.93","Partly Cloudy","0.0"
"2025-01-11","8:53 AM","51","27","39","E","6","0","29.95","Partly Cloudy","0.0"
"2025-01-11","9:53 AM","56","31","39","ENE","6","0","29.95","Fair","0.0"
"2025-01-11","10:53 AM","60","40","47","E","6","0","29.96","Fair","0.0"
"2025-01-11","11:53 AM","61","43","52","SSE","7","0","29.93","Fair","0.0"
"2025-01-11","12:53 PM","64","40","41","CALM","0","0","29.88","Fair","0.0"
"2025-01-11","1:53 PM","63","46","54","W","12","0","29.86","Fair","0.0"
"2025-01-11","2:53 PM","62","47","58","W","12","0","29.84","Fair","0.0"
"2025-01-11","3:53 PM","60","49","67","W","10","0","29.84","Fair","0.0"
"2025-01-11","4:53 PM","59","51","75","W","12","0","29.83","Fair","0.0"
"2025-01-11","5:53 PM","58","49","72","SW","6","0","29.82","Fair","0.0"
"2025-01-11","6:53 PM","57","49","74","ESE","3","0","29.82","Fair","0.0"
"2025-01-11","7:53 PM","57","48","72","N","6","0","29.83","Fair","0.0"
"2025-01-11","8:53 PM","55","48","77","CALM","0","0","29.86","Fair","0.0"
"2025-01-11","9:53 PM","56","47","72","CALM","0","0","29.87","Fair","0.0"
"2025-01-11","10:53 PM","55","45","69","ENE","5","0","29.87","Fair","0.0"
"2025-01-11","11:53 PM","55","45","69","VAR","5","0","29.88","Fair","0.0"
"2025-01-12","12:53 AM","51","44","77","ENE","5","0","29.89","Fair","0.0"
"2025-01-12","1:53 AM","55","33","43","CALM","0","0","29.89","Fair","0.0"
"2025-01-12","2:53 AM","56","19","24","SSW","3","0","29.89","Fair","0.0"
"2025-01-12","3:53 AM","46","31","56","ENE","6","0","29.90","Fair","0.0"
"2025-01-12","4:53 AM","49","29","46","WSW","3","0","29.90","Fair","0.0"
"2025-01-12","5:53 AM","50","28","43","W","6","0","29.90","Fair","0.0"
"2025-01-12","6:53 AM","54","18","24","VAR","3","0","29.92","Fair","0.0"
"2025-01-12","7:53 AM","56","21","26","W","3","0","29.93","Fair","0.0"
"2025-01-12","8:53 AM","56","22","27","NNW","5","0","29.95","Fair","0.0"
"2025-01-12","9:53 AM","61","26","26","S","6","0","29.96","Fair","0.0"
"2025-01-12","10:53 AM","63","29","28","CALM","0","0","29.97","Fair","0.0"
"2025-01-12","11:53 AM","65","31","28","W","3","0","29.96","Fair","0.0"
"2025-01-12","12:53 PM","67","32","27","SW","6","0","29.93","Fair","0.0"
"2025-01-12","1:53 PM","67","32","27","SSW","7","0","29.89","Fair","0.0"
"2025-01-12","2:53 PM","68","33","27","WSW","12","0","29.88","Fair","0.0"
"2025-01-12","3:53 PM","65","30","27","SW","10","0","29.89","Fair","0.0"
"2025-01-12","4:53 PM","63","28","27","SW","12","0","29.89","Fair","0.0"
"2025-01-12","5:53 PM","60","35","39","SW","12","0","29.91","Fair","0.0"
"2025-01-12","6:53 PM","58","43","58","SW","8","0","29.90","Fair","0.0"
"2025-01-12","7:53 PM","57","44","62","CALM","0","0","29.92","Fair","0.0"
"2025-01-12","8:53 PM","55","44","67","E","3","0","29.95","Fair","0.0"
"2025-01-12","9:53 PM","54","42","64","CALM","0","0","29.97","Fair","0.0"
"2025-01-12","10:53 PM","53","35","50","E","5","0","29.98","Fair","0.0"
"2025-01-12","11:53 PM","55","29","37","CALM","0","0","29.98","Fair","0.0"
"2025-01-13","12:53 AM","51","29","43","SE","3","0","29.99","Fair","0.0"
"2025-01-13","1:53 AM","51","27","39","NE","3","0","29.99","Fair","0.0"
"2025-01-13","2:53 AM","48","25","41","ESE","5","0","29.99","Fair","0.0"
"2025-01-13","3:53 AM","48","22","36","CALM","0","0","29.99","Fair","0.0"
"2025-01-13","4:53 AM","48","22","36","CALM","0","0","30.00","Fair","0.0"
"2025-01-13","5:53 AM","45","22","40","NE","3","0","30.00","Fair","0.0"
"2025-01-13","6:53 AM","48","21","34","CALM","0","0","30.01","Fair","0.0"
"2025-01-13","7:53 AM","45","22","40","CALM","0","0","30.02","Fair","0.0"
"2025-01-13","8:53 AM","47","24","41","CALM","0","0","30.04","Fair","0.0"
"2025-01-13","9:53 AM","57","22","26","CALM","0","0","30.06","Fair","0.0"
"2025-01-13","10:53 AM","60","25","26","CALM","0","0","30.09","Fair","0.0"
"2025-01-13","11:53 AM","63","28","27","VAR","3","0","30.08","Fair","0.0"
"2025-01-13","12:53 PM","65","30","27","VAR","5","0","30.06","Fair","0.0"
"2025-01-13","1:53 PM","66","32","28","ESE","6","0","30.04","Fair","0.0"
"2025-01-13","2:53 PM","66","29","25","W","9","0","30.04","Fair","0.0"
"2025-01-13","3:53 PM","67","31","26","S","7","22","30.04","Fair","0.0"
"2025-01-13","4:53 PM","63","28","27","WSW","9","0","30.05","Fair","0.0"
"2025-01-13","5:53 PM","63","27","26","WSW","5","0","30.06","Fair","0.0"
