"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2025-2-2|1:53 AM","58ʡF","56ʡF","93ʡ%","E","6ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Cloudy"
"2025-2-2|2:53 AM","58ʡF","56ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Cloudy"
"2025-2-2|3:53 AM","57ʡF","54ʡF","89ʡ%","ENE","5ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Cloudy"
"2025-2-2|4:53 AM","55ʡF","53ʡF","93ʡ%","ESE","3ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mostly Cloudy"
"2025-2-2|5:53 AM","56ʡF","54ʡF","93ʡ%","SE","5ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mist"
"2025-2-2|6:53 AM","56ʡF","54ʡF","93ʡ%","SE","8ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mist"
"2025-2-2|7:53 AM","55ʡF","53ʡF","93ʡ%","ESE","6ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Mist"
"2025-2-2|8:10 AM","55ʡF","54ʡF","96ʡ%","ENE","5ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Mist"
"2025-2-2|8:53 AM","55ʡF","54ʡF","96ʡ%","VAR","5ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Mist"
"2025-2-2|9:20 AM","55ʡF","54ʡF","96ʡ%","E","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mist"
"2025-2-2|9:53 AM","55ʡF","54ʡF","96ʡ%","SSE","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mist"
"2025-2-2|10:23 AM","55ʡF","54ʡF","96ʡ%","CALM","0ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mist"
"2025-2-2|10:53 AM","56ʡF","54ʡF","93ʡ%","ESE","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mist"
"2025-2-2|11:10 AM","58ʡF","54ʡF","87ʡ%","ESE","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mist"
"2025-2-2|11:53 AM","62ʡF","53ʡF","72ʡ%","CALM","0ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Haze"
"2025-2-2|12:53 PM","65ʡF","55ʡF","70ʡ%","CALM","0ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Haze"
"2025-2-2|1:53 PM","63ʡF","55ʡF","75ʡ%","W","10ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Haze"
"2025-2-2|2:53 PM","62ʡF","55ʡF","78ʡ%","W","9ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Haze"
"2025-2-2|3:53 PM","59ʡF","55ʡF","87ʡ%","W","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|3:58 PM","59ʡF","55ʡF","87ʡ%","W","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|4:31 PM","57ʡF","54ʡF","89ʡ%","W","12ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|4:53 PM","57ʡF","55ʡF","93ʡ%","W","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|5:38 PM","56ʡF","54ʡF","93ʡ%","WNW","9ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|5:53 PM","56ʡF","54ʡF","93ʡ%","W","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|6:51 PM","54ʡF","54ʡF","100ʡ%","W","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|6:53 PM","54ʡF","54ʡF","100ʡ%","W","12ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|7:27 PM","55ʡF","54ʡF","96ʡ%","W","9ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|7:53 PM","54ʡF","54ʡF","100ʡ%","W","9ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|8:51 PM","55ʡF","55ʡF","100ʡ%","W","5ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|8:53 PM","55ʡF","55ʡF","100ʡ%","VAR","3ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|9:19 PM","54ʡF","54ʡF","100ʡ%","W","7ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|9:53 PM","54ʡF","54ʡF","100ʡ%","WSW","5ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|10:30 PM","53ʡF","53ʡF","100ʡ%","SW","5ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Mist"
"2025-2-2|10:53 PM","54ʡF","54ʡF","100ʡ%","SW","5ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|11:32 PM","53ʡF","53ʡF","100ʡ%","W","5ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Fog"
"2025-2-2|11:49 PM","54ʡF","54ʡF","100ʡ%","W","6ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|11:53 PM","53ʡF","53ʡF","100ʡ%","W","6ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
"2025-2-2|12:53 AM","53ʡF","53ʡF","100ʡ%","SW","3ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fog"
