"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","66ʡF","61ʡF","84ʡ%","CALM","0ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"1:53 AM","67ʡF","59ʡF","76ʡ%","ESE","7ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2:53 AM","66ʡF","57ʡF","73ʡ%","ESE","6ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Cloudy"
"3:53 AM","66ʡF","56ʡF","70ʡ%","SE","7ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"4:53 AM","66ʡF","56ʡF","70ʡ%","SSE","5ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"5:53 AM","66ʡF","57ʡF","73ʡ%","SE","3ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"6:53 AM","67ʡF","56ʡF","68ʡ%","CALM","0ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Cloudy"
"7:53 AM","67ʡF","57ʡF","70ʡ%","VAR","5ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"8:53 AM","67ʡF","57ʡF","70ʡ%","NW","7ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Cloudy"
"9:53 AM","68ʡF","57ʡF","68ʡ%","NW","5ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Cloudy"
"10:53 AM","70ʡF","56ʡF","61ʡ%","S","5ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Mostly Cloudy"
"11:53 AM","72ʡF","57ʡF","59ʡ%","W","7ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Mostly Cloudy"
"12:16 PM","73ʡF","57ʡF","57ʡ%","WNW","9ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Mostly Cloudy"
"12:53 PM","73ʡF","57ʡF","57ʡ%","W","15ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Mostly Cloudy"
"1:53 PM","73ʡF","57ʡF","57ʡ%","WSW","12ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Partly Cloudy"
"2:53 PM","73ʡF","56ʡF","55ʡ%","W","13ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"3:53 PM","72ʡF","57ʡF","59ʡ%","WSW","10ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"4:53 PM","70ʡF","57ʡF","63ʡ%","WSW","14ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"5:53 PM","69ʡF","59ʡF","70ʡ%","W","14ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"6:53 PM","67ʡF","60ʡF","79ʡ%","W","12ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"7:53 PM","66ʡF","60ʡF","81ʡ%","WSW","13ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"8:53 PM","66ʡF","60ʡF","81ʡ%","WSW","10ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"9:53 PM","66ʡF","60ʡF","81ʡ%","W","12ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"10:53 PM","65ʡF","59ʡF","81ʡ%","W","9ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"11:53 PM","65ʡF","59ʡF","81ʡ%","W","13ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Mostly Cloudy"
