"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2020-07-24|12:53 AM","61ʡF","57ʡF","87ʡ%","WSW","5ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2020-07-24|1:53 AM","61ʡF","57ʡF","87ʡ%","WSW","5ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|2:16 AM","62ʡF","57ʡF","84ʡ%","WSW","5ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|2:53 AM","62ʡF","57ʡF","84ʡ%","W","3ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|3:45 AM","63ʡF","56ʡF","78ʡ%","VAR","3ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|3:53 AM","63ʡF","56ʡF","78ʡ%","NNW","3ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|4:53 AM","63ʡF","57ʡF","81ʡ%","N","3ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Cloudy"
"2020-07-24|5:53 AM","63ʡF","57ʡF","81ʡ%","CALM","0ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"2020-07-24|6:25 AM","64ʡF","57ʡF","78ʡ%","VAR","5ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"2020-07-24|6:53 AM","64ʡF","57ʡF","78ʡ%","ENE","7ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"2020-07-24|7:53 AM","65ʡF","56ʡF","73ʡ%","ENE","7ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Cloudy"
"2020-07-24|8:53 AM","66ʡF","56ʡF","70ʡ%","ENE","5ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Cloudy"
"2020-07-24|9:53 AM","68ʡF","56ʡF","65ʡ%","CALM","0ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|10:53 AM","69ʡF","57ʡF","65ʡ%","VAR","5ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|11:03 AM","70ʡF","57ʡF","63ʡ%","VAR","5ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Partly Cloudy"
"2020-07-24|11:53 AM","72ʡF","57ʡF","59ʡ%","W","10ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Partly Cloudy"
"2020-07-24|12:53 PM","71ʡF","57ʡF","61ʡ%","WSW","10ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"2020-07-24|1:53 PM","72ʡF","57ʡF","59ʡ%","SW","14ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"2020-07-24|2:53 PM","71ʡF","56ʡF","59ʡ%","WSW","15ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"2020-07-24|3:53 PM","71ʡF","57ʡF","61ʡ%","W","15ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"2020-07-24|4:53 PM","70ʡF","57ʡF","63ʡ%","SW","14ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2020-07-24|5:53 PM","68ʡF","57ʡF","68ʡ%","W","14ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"2020-07-24|6:53 PM","67ʡF","57ʡF","70ʡ%","W","14ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"2020-07-24|7:53 PM","64ʡF","58ʡF","80ʡ%","W","10ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2020-07-24|8:53 PM","63ʡF","58ʡF","84ʡ%","W","10ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"2020-07-24|9:20 PM","63ʡF","58ʡF","84ʡ%","W","8ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"2020-07-24|9:53 PM","62ʡF","57ʡF","84ʡ%","W","9ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"2020-07-24|10:48 PM","63ʡF","57ʡF","82ʡ%","W","8ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|10:53 PM","62ʡF","57ʡF","84ʡ%","W","8ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|11:32 PM","62ʡF","57ʡF","84ʡ%","WSW","6ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Mostly Cloudy"
"2020-07-24|11:47 PM","61ʡF","57ʡF","87ʡ%","WSW","6ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Partly Cloudy"
"2020-07-24|11:53 PM","62ʡF","57ʡF","84ʡ%","W","6ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Partly Cloudy"
