"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN8","2022-05-11T00:00",51.1,19,19,50.9,17,18
"KCATOPAN8","2022-05-11T00:15",50.9,21,21,50.5,13,17
"KCATOPAN8","2022-05-11T00:30",50.5,19,19,50.5,14.1,17
"KCATOPAN8","2022-05-11T00:45",50.5,17,18,50.4,14.1,17
"KCATOPAN8","2022-05-11T01:00",50.4,17.9,18,50.4,14.1,16
"KCATOPAN8","2022-05-11T01:15",50.4,17,18,50.4,14.1,16
"KCATOPAN8","2022-05-11T01:30",50.4,17,17,50.2,12.1,16
"KCATOPAN8","2022-05-11T01:45",50.2,15,17,50,13,15
"KCATOPAN8","2022-05-11T02:00",50.4,16.1,17,50.2,13,15
"KCATOPAN8","2022-05-11T02:15",50.5,19,19,50.4,14.1,17
"KCATOPAN8","2022-05-11T02:30",50.4,19,20,50.2,13,17
"KCATOPAN8","2022-05-11T02:45",50.2,21,21,50,13,19
"KCATOPAN8","2022-05-11T03:00",50,19,21,49.6,13,19
"KCATOPAN8","2022-05-11T03:15",49.6,19.9,21,49.6,14.1,19
"KCATOPAN8","2022-05-11T03:30",49.6,17.9,21,48.9,12.1,16
"KCATOPAN8","2022-05-11T03:45",48.9,19,22,48.7,15,18
"KCATOPAN8","2022-05-11T04:00",48.7,17.9,22,48.4,12.1,18
"KCATOPAN8","2022-05-11T04:15",48.4,17.9,20,48,14.1,18
"KCATOPAN8","2022-05-11T04:30",48,16.1,20,47.8,13,16
"KCATOPAN8","2022-05-11T04:45",47.8,17.9,19,47.1,13,16
"KCATOPAN8","2022-05-11T05:00",47.1,17.9,19,46.8,14.1,16
"KCATOPAN8","2022-05-11T05:15",46.8,21.9,23,46.2,12.1,19
"KCATOPAN8","2022-05-11T05:30",46.4,19,20,45.9,12.1,16
"KCATOPAN8","2022-05-11T05:45",45.9,17,20,45.5,13,17
"KCATOPAN8","2022-05-11T06:00",45.5,19,19,45.3,14.1,15
"KCATOPAN8","2022-05-11T06:15",45.3,17.9,20,45.3,14.1,17
"KCATOPAN8","2022-05-11T06:30",45.3,17.9,19,45.1,13,17
"KCATOPAN8","2022-05-11T06:45",45.3,17.9,19,45.1,13,16
"KCATOPAN8","2022-05-11T07:00",45.9,17,19,45.3,14.1,15
"KCATOPAN8","2022-05-11T07:15",45.9,17,19,45.9,11,16
"KCATOPAN8","2022-05-11T07:30",46,17,18,45.9,10.1,16
"KCATOPAN8","2022-05-11T07:45",46.6,17,18,46,10.1,16
"KCATOPAN8","2022-05-11T08:00",47.1,17,18,46.6,10.1,16
"KCATOPAN8","2022-05-11T08:15",47.5,16.1,17,47.1,12.1,15
"KCATOPAN8","2022-05-11T08:30",48.4,15,17,47.5,8.1,14
"KCATOPAN8","2022-05-11T08:45",48.7,17,18,48.6,8.9,15
"KCATOPAN8","2022-05-11T09:00",50.2,13,17,48.7,2,11
"KCATOPAN8","2022-05-11T09:15",50.5,15,17,50,8.1,11
"KCATOPAN8","2022-05-11T09:30",52,16.1,16,50.4,6,11
"KCATOPAN8","2022-05-11T09:45",52.2,14.1,17,51.4,4,12
"KCATOPAN8","2022-05-11T10:00",51.8,17,21,51.4,4.9,14
"KCATOPAN8","2022-05-11T10:15",52,23,23,51.3,12.1,18
"KCATOPAN8","2022-05-11T10:30",52.5,19.9,22,51.6,4.9,11
"KCATOPAN8","2022-05-11T10:45",53.1,17.9,21,52.5,4.9,15
"KCATOPAN8","2022-05-11T11:00",53.6,14.1,19,53.1,4.9,12
"KCATOPAN8","2022-05-11T11:15",53.8,17.9,19,53.2,2.9,10
"KCATOPAN8","2022-05-11T11:30",55.4,15,16,53.8,0.9,8
