"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN895","2025-01-07T00:00",52.5,0.2,1.1,52.3,0,0
"KCALOSAN895","2025-01-07T00:15",52.7,1.1,1.1,52,0,0
"KCALOSAN895","2025-01-07T00:30",52.7,1.3,2.2,52,0,0
"KCALOSAN895","2025-01-07T00:45",52.7,2.2,2.2,51.8,0,0
"KCALOSAN895","2025-01-07T01:00",52.3,3.8,4.5,51.6,0,0
"KCALOSAN895","2025-01-07T01:15",51.8,1.8,2.2,51.1,0,0
"KCALOSAN895","2025-01-07T01:30",52,2.7,3.4,51.1,0,0
"KCALOSAN895","2025-01-07T01:45",52.5,0,0,51.8,0,0
"KCALOSAN895","2025-01-07T02:00",52.9,2.2,2.2,51.6,0,0
"KCALOSAN895","2025-01-07T02:15",55,4.7,6.9,52.9,0,0
"KCALOSAN895","2025-01-07T02:30",56.3,7.4,10.3,55,0.4,1.1
"KCALOSAN895","2025-01-07T02:45",56.5,6.5,8.1,56.1,0.9,1.1
"KCALOSAN895","2025-01-07T03:00",57.4,8.5,10.3,56.5,1.8,2.2
"KCALOSAN895","2025-01-07T03:15",57.2,7.8,10.3,56.7,1.1,1.1
"KCALOSAN895","2025-01-07T03:30",58.1,6.9,9.2,57,0.9,1.1
"KCALOSAN895","2025-01-07T03:45",58.6,9.6,12.5,57.9,0.7,1.1
"KCALOSAN895","2025-01-07T04:00",58.3,6.9,9.2,58.1,1.3,2.2
"KCALOSAN895","2025-01-07T04:15",58.5,11.6,18.3,57.7,2.5,3.4
"KCALOSAN895","2025-01-07T04:30",60.3,11.2,15.9,58.5,1.3,2.2
"KCALOSAN895","2025-01-07T04:45",60.4,8.9,13.6,60.1,0.9,2.2
"KCALOSAN895","2025-01-07T05:00",60.4,12.3,19.5,59.9,2.2,3.4
"KCALOSAN895","2025-01-07T05:15",60.1,8.1,12.5,59.7,1.1,1.1
"KCALOSAN895","2025-01-07T05:30",59.9,6.7,9.2,59.2,0.2,1.1
"KCALOSAN895","2025-01-07T05:45",59.9,8.7,12.5,59.5,0.9,1.1
"KCALOSAN895","2025-01-07T06:00",59.9,9.8,13.6,59.7,1.8,2.2
"KCALOSAN895","2025-01-07T06:15",59.7,8.9,12.5,59,1.3,2.2
"KCALOSAN895","2025-01-07T06:30",59,9.2,11.4,58.6,1.3,2.2
"KCALOSAN895","2025-01-07T06:45",59,11.2,17.2,58.6,1.8,2.2
"KCALOSAN895","2025-01-07T07:00",58.8,10.3,18.3,58.6,1.8,2.2
"KCALOSAN895","2025-01-07T07:15",59.2,11.6,17.2,58.6,1.8,3.4
"KCALOSAN895","2025-01-07T07:30",59.5,15.4,19.5,59,2,3.4
"KCALOSAN895","2025-01-07T07:45",60.4,12.3,15.9,59.4,0.9,2.2
"KCALOSAN895","2025-01-07T08:00",60.8,12.5,18.3,60.4,1.8,2.2
"KCALOSAN895","2025-01-07T08:15",61,14.8,20.6,60.4,1.8,2.2
"KCALOSAN895","2025-01-07T08:30",60.4,14.8,21.7,60.1,1.3,2.2
"KCALOSAN895","2025-01-07T08:45",60.3,16.8,20.6,60.1,1.6,3.4
"KCALOSAN895","2025-01-07T09:00",60.1,16.3,23.9,59.9,2.7,4.5
"KCALOSAN895","2025-01-07T09:15",60.1,17,21.7,59.7,1.6,2.2
"KCALOSAN895","2025-01-07T09:30",60.1,13.9,18.3,59,1.8,4.5
"KCALOSAN895","2025-01-07T09:45",59,12.8,18.3,58.8,3.4,5.8
"KCALOSAN895","2025-01-07T10:00",60.1,13.6,20.6,58.8,1.3,2.2
"KCALOSAN895","2025-01-07T10:15",62.6,9.6,15.9,59.9,0.9,2.2
"KCALOSAN895","2025-01-07T10:30",62.6,14.3,19.5,61.3,3.1,3.4
"KCALOSAN895","2025-01-07T10:45",62.6,14.8,25.1,61.2,2.5,3.4
"KCALOSAN895","2025-01-07T11:00",63,11.6,20.6,61.7,2.5,3.4
"KCALOSAN895","2025-01-07T11:15",64.6,11.4,15.9,63.1,0.4,1.1
"KCALOSAN895","2025-01-07T11:30",65.1,12.1,15.9,64,0.7,2.2
"KCALOSAN895","2025-01-07T11:45",66.7,15.2,21.7,64.2,0.9,1.1
"KCALOSAN895","2025-01-07T12:00",66.2,15.4,26.2,64.8,2.2,2.2
"KCALOSAN895","2025-01-07T12:15",66.6,13.6,21.7,64.8,1.3,2.2
"KCALOSAN895","2025-01-07T12:30",67.5,15.7,22.8,65.7,1.1,1.1
"KCALOSAN895","2025-01-07T12:45",66.9,18.6,25.1,65.7,1.3,2.2
