"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAMALIB114","2025-01-07T00:00",56.3,4,4,55.8,0,0
"KCAMALIB114","2025-01-07T00:15",56.5,5,5,55.6,1,2
"KCAMALIB114","2025-01-07T00:30",56.5,4,5,55.2,0,0
"KCAMALIB114","2025-01-07T00:45",55.2,4,4,54.7,0,0
"KCAMALIB114","2025-01-07T01:00",56.1,5,5,54.7,0,0
"KCAMALIB114","2025-01-07T01:15",54.9,4,4,54.3,0,0
"KCAMALIB114","2025-01-07T01:30",54.5,4,4,53.6,0,0
"KCAMALIB114","2025-01-07T01:45",54.3,5,5,53.6,1,2
"KCAMALIB114","2025-01-07T02:00",54.1,4,4,53.1,0,0
"KCAMALIB114","2025-01-07T02:15",54.5,4,4,53.1,0,0
"KCAMALIB114","2025-01-07T02:30",53.8,2,2,53.2,0,0
"KCAMALIB114","2025-01-07T02:45",53.8,3,3,53.6,0,0
"KCAMALIB114","2025-01-07T03:00",53.6,6,6,53.2,0,0
"KCAMALIB114","2025-01-07T03:15",54.1,5,6,53.6,1,2
"KCAMALIB114","2025-01-07T03:30",55,5,5,54.1,0,0
"KCAMALIB114","2025-01-07T03:45",55.6,4,4,54.3,0,0
"KCAMALIB114","2025-01-07T04:00",61.5,14,14,55,2,3
"KCAMALIB114","2025-01-07T04:15",61.5,14,14,55,2,3
"KCAMALIB114","2025-01-07T04:30",62.6,16,16,61.2,4,4
"KCAMALIB114","2025-01-07T04:45",62.6,22,22,62.1,2,2
"KCAMALIB114","2025-01-07T05:00",62.2,16,22,62.1,6,7
"KCAMALIB114","2025-01-07T05:15",62.2,17,17,62.1,5,8
"KCAMALIB114","2025-01-07T05:30",62.6,25,25,62.1,8,11
"KCAMALIB114","2025-01-07T05:45",63,24,24,62.6,5,11
"KCAMALIB114","2025-01-07T06:00",63,20,20,62.8,4,9
"KCAMALIB114","2025-01-07T06:15",63.1,25,25,62.8,4,7
"KCAMALIB114","2025-01-07T06:30",63,27,27,62.8,7,7
"KCAMALIB114","2025-01-07T06:45",63,24,24,62.8,6,8
"KCAMALIB114","2025-01-07T07:00",62.8,19,19,62.6,6,7
"KCAMALIB114","2025-01-07T07:15",62.8,14,14,62.2,4,5
