"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN68","2025-01-07T00:00",55.8,0.7,2.2,54.3,0,0
"KCATOPAN68","2025-01-07T00:15",55.8,0.7,2.2,54.3,0,0
"KCATOPAN68","2025-01-07T00:30",53.8,1.1,1.1,52.9,0,1.1
"KCATOPAN68","2025-01-07T00:45",52.9,0.9,1.1,52.3,0,1.1
"KCATOPAN68","2025-01-07T01:00",52.5,0.9,1.1,51.8,0,0
"KCATOPAN68","2025-01-07T01:15",53.8,0.7,2.2,52.9,0.2,1.1
"KCATOPAN68","2025-01-07T01:30",52.5,0,1.1,51.4,0,1.1
"KCATOPAN68","2025-01-07T01:45",52,1.1,1.1,51.4,0,0
"KCATOPAN68","2025-01-07T02:00",55.9,2.2,4.5,53.1,0.5,1.1
"KCATOPAN68","2025-01-07T02:15",56.5,2.9,5.8,55.9,0,2.2
"KCATOPAN68","2025-01-07T02:30",56.1,3.4,5.8,55.8,0.2,2.2
"KCATOPAN68","2025-01-07T02:45",56.5,3.4,6.9,55.8,0,1.1
"KCATOPAN68","2025-01-07T03:00",56.1,4,8.1,55.8,0,2.2
"KCATOPAN68","2025-01-07T03:15",56.1,4,5.8,55.6,0,1.1
"KCATOPAN68","2025-01-07T03:30",55.9,2.7,4.5,55.6,0,2.2
"KCATOPAN68","2025-01-07T03:45",56.7,2.5,4.5,55.9,0.7,2.2
"KCATOPAN68","2025-01-07T04:00",57.2,4.5,6.9,56.8,0.9,3.4
"KCATOPAN68","2025-01-07T04:15",57.2,3.4,5.8,57.2,0.2,4.5
"KCATOPAN68","2025-01-07T04:30",57.6,2.2,6.9,57.4,0.2,2.2
"KCATOPAN68","2025-01-07T04:45",57.4,3.8,8.1,57.4,1.1,3.4
"KCATOPAN68","2025-01-07T05:00",57.7,3.6,6.9,57.2,1.3,3.4
"KCATOPAN68","2025-01-07T05:15",57.9,4,6.9,57.9,1.8,3.4
"KCATOPAN68","2025-01-07T05:30",57.7,2.2,3.4,57.6,1.6,3.4
"KCATOPAN68","2025-01-07T05:45",57.6,4.7,5.8,57.4,1.6,4.5
"KCATOPAN68","2025-01-07T06:00",57.9,5.8,8.1,57.6,0.7,3.4
"KCATOPAN68","2025-01-07T06:15",57.9,2.2,8.1,57.9,2.2,8.1
"KCATOPAN68","2025-01-07T06:30",57.6,3.6,6.9,57.6,3.6,6.9
"KCATOPAN68","2025-01-07T06:45",57.7,3.4,8.1,57.6,1.8,6.9
"KCATOPAN68","2025-01-07T07:00",57.7,4.5,6.9,57.4,1.3,4.5
"KCATOPAN68","2025-01-07T07:15",57.9,5.8,10.3,57.6,2.5,5.8
"KCATOPAN68","2025-01-07T07:30",58.5,5.8,12.5,57.9,2.2,6.9
"KCATOPAN68","2025-01-07T07:45",58.6,7.6,10.3,58.3,2.9,5.8
"KCATOPAN68","2025-01-07T08:00",59,6.9,14.8,58.6,2.7,5.8
"KCATOPAN68","2025-01-07T08:15",59.2,5.4,11.4,58.8,2.7,6.9
"KCATOPAN68","2025-01-07T08:30",58.8,6.5,10.3,58.8,6.5,10.3
"KCATOPAN68","2025-01-07T08:45",58.8,4.9,8.1,58.6,4.5,6.9
"KCATOPAN68","2025-01-07T09:00",58.8,7.4,10.3,58.6,2.5,6.9
"KCATOPAN68","2025-01-07T09:15",59,8.7,15.9,58.6,3.4,6.9
"KCATOPAN68","2025-01-07T09:30",58.8,10.5,14.8,58.5,5.4,12.5
"KCATOPAN68","2025-01-07T09:45",58.3,6.3,14.8,57.4,4.5,8.1
"KCATOPAN68","2025-01-07T10:00",57.7,9.2,15.9,57.2,2.2,6.9
"KCATOPAN68","2025-01-07T10:15",59.7,7.2,15.9,59.4,2.9,8.1
"KCATOPAN68","2025-01-07T10:30",60.1,7.2,11.4,59.9,5.1,9.2
"KCATOPAN68","2025-01-07T10:45",60.8,4.5,8.1,60.8,4.5,8.1
"KCATOPAN68","2025-01-07T11:00",62.2,6,10.3,61.9,3.6,9.2
"KCATOPAN68","2025-01-07T11:15",63,5.8,10.3,62.8,3.8,6.9
"KCATOPAN68","2025-01-07T11:30",63.5,7.6,11.4,62.8,1.1,6.9
"KCATOPAN68","2025-01-07T11:45",63.9,5.6,10.3,63.3,3.8,4.5
"KCATOPAN68","2025-01-07T12:00",64,5.8,10.3,63.7,2,6.9
"KCATOPAN68","2025-01-07T12:15",64.2,6.7,14.8,64,3.1,6.9
"KCATOPAN68","2025-01-07T12:30",64.4,6.5,11.4,64,3.4,8.1
"KCATOPAN68","2025-01-07T12:45",65.7,4.7,9.2,64.9,2.5,4.5
"KCATOPAN68","2025-01-07T13:00",65.8,8.7,11.4,64.9,2.9,4.5
"KCATOPAN68","2025-01-07T13:15",65.5,7.2,11.4,65.1,1.8,5.8
"KCATOPAN68","2025-01-07T13:30",65.3,8.7,12.5,64.6,3.1,4.5
"KCATOPAN68","2025-01-07T13:45",65.5,4,9.2,65.5,3.4,4.5
"KCATOPAN68","2025-01-07T14:00",66.2,5.8,8.1,65.7,2.2,5.8
"KCATOPAN68","2025-01-07T14:15",65.1,6.9,14.8,64.8,2.2,5.8
"KCATOPAN68","2025-01-07T14:30",64.9,4.9,11.4,64.4,1.8,5.8
"KCATOPAN68","2025-01-07T14:45",64.4,2.9,5.8,64.2,2.5,3.4
"KCATOPAN68","2025-01-07T15:00",64.2,6.9,14.8,64.2,2.2,9.2
"KCATOPAN68","2025-01-07T15:15",63.9,5.4,10.3,63.9,2.9,6.9
"KCATOPAN68","2025-01-07T15:30",63.5,3.8,9.2,63.3,2.2,6.9
"KCATOPAN68","2025-01-07T15:45",63.1,4.9,13.7,63.1,3.4,9.2
"KCATOPAN68","2025-01-07T16:00",63.1,6.3,12.5,62.8,2.5,5.8
"KCATOPAN68","2025-01-07T16:15",62.6,7.4,18.3,62.4,2.2,4.5
"KCATOPAN68","2025-01-07T16:30",62.2,4,9.2,62.1,2.2,5.8
"KCATOPAN68","2025-01-07T16:45",62.2,9,12.5,61.5,1.3,6.9
"KCATOPAN68","2025-01-07T17:00",61.5,4.5,8.1,61.3,2.5,4.5
"KCATOPAN68","2025-01-07T17:15",61.5,5.4,13.7,61,2.2,4.5
"KCATOPAN68","2025-01-07T17:30",60.6,3.6,6.9,60.4,2.5,5.8
"KCATOPAN68","2025-01-07T17:45",61,6.5,10.3,60.6,2.9,8.1
"KCATOPAN68","2025-01-07T18:00",60.8,5.8,10.3,60.3,2.5,3.4
"KCATOPAN68","2025-01-07T18:15",61,6.3,14.8,60.4,3.8,5.8
"KCATOPAN68","2025-01-07T18:30",61.2,6,12.5,60.6,3.4,6.9
"KCATOPAN68","2025-01-07T18:45",60.8,8.1,19.5,60.6,3.4,8.1
