"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN8","2021-06-09T00:00",56.8,4,4,56.8,2,3
"KCATOPAN8","2021-06-09T00:15",56.8,4.9,6,56.8,2.9,4
"KCATOPAN8","2021-06-09T00:30",56.8,4.9,7,56.7,2,3
"KCATOPAN8","2021-06-09T00:45",56.7,2.9,4,56.5,0.9,2
"KCATOPAN8","2021-06-09T01:00",56.8,4,4,56.7,0,2
"KCATOPAN8","2021-06-09T01:15",57.2,4.9,5,56.8,2,3
"KCATOPAN8","2021-06-09T01:30",57.4,6,7,57,2.9,5
"KCATOPAN8","2021-06-09T01:45",57,4.9,7,56.7,0,2
"KCATOPAN8","2021-06-09T02:00",56.8,4.9,6,56.7,2.9,5
"KCATOPAN8","2021-06-09T02:15",56.8,8.1,8,56.7,0.9,3
"KCATOPAN8","2021-06-09T02:30",56.8,6,8,56.7,2,3
"KCATOPAN8","2021-06-09T02:45",56.7,8.1,8,56.7,2.9,6
"KCATOPAN8","2021-06-09T03:00",57.2,6.9,8,56.7,2,3
"KCATOPAN8","2021-06-09T03:15",57.2,4,7,56.8,2,4
"KCATOPAN8","2021-06-09T03:30",56.8,4,4,56.5,0.9,3
"KCATOPAN8","2021-06-09T03:45",56.5,4,6,56.3,0.9,3
"KCATOPAN8","2021-06-09T04:00",56.5,4,6,56.5,2,4
"KCATOPAN8","2021-06-09T04:15",56.5,4,6,56.1,2.9,4
"KCATOPAN8","2021-06-09T04:30",56.8,4.9,5,56.5,2.9,4
"KCATOPAN8","2021-06-09T04:45",57,6,6,56.8,2.9,4
"KCATOPAN8","2021-06-09T05:00",56.8,4.9,6,55.9,2.9,4
"KCATOPAN8","2021-06-09T05:15",55.9,6,7,55.4,2.9,4
"KCATOPAN8","2021-06-09T05:30",55.9,6.9,7,55.6,2.9,5
"KCATOPAN8","2021-06-09T05:45",56.1,6.9,7,55.9,0.9,4
"KCATOPAN8","2021-06-09T06:00",56.1,6,7,55.9,0.9,1
"KCATOPAN8","2021-06-09T06:15",55.9,4.9,6,55.6,0,2
"KCATOPAN8","2021-06-09T06:30",56.5,4,5,55.6,0,2
"KCATOPAN8","2021-06-09T06:45",56.7,6,6,56.5,0.9,2
"KCATOPAN8","2021-06-09T07:00",56.5,4,6,55.9,2,3
"KCATOPAN8","2021-06-09T07:15",56.1,4,4,55.9,0.9,2
"KCATOPAN8","2021-06-09T07:30",56.8,4,6,56.3,0.9,2
"KCATOPAN8","2021-06-09T07:45",57.6,2.9,3,57,0.9,1
"KCATOPAN8","2021-06-09T08:00",57.9,4,5,57.6,0,2
"KCATOPAN8","2021-06-09T08:15",58.3,4,5,57.9,0.9,1
"KCATOPAN8","2021-06-09T08:30",59.5,4.9,6,58.1,2,3
"KCATOPAN8","2021-06-09T08:45",61,8.1,10,59.7,2,4
"KCATOPAN8","2021-06-09T09:00",60.8,8.1,10,60.1,2,5
"KCATOPAN8","2021-06-09T09:15",61.2,6.9,7,60.4,0.9,3
"KCATOPAN8","2021-06-09T09:30",62.4,8.1,8,61,0,2
"KCATOPAN8","2021-06-09T09:45",63.1,6.9,8,62.4,2,5
"KCATOPAN8","2021-06-09T10:00",63.3,6.9,10,62.8,2.9,6
"KCATOPAN8","2021-06-09T10:15",63,8.1,10,62.4,4,7
"KCATOPAN8","2021-06-09T10:30",62.6,6.9,10,62.1,2,6
"KCATOPAN8","2021-06-09T10:45",62.6,8.9,11,62.1,4,7
"KCATOPAN8","2021-06-09T11:00",63.1,8.9,12,62.8,2.9,9
"KCATOPAN8","2021-06-09T11:15",63,10.1,13,61.7,4.9,9
"KCATOPAN8","2021-06-09T11:30",61.9,11,14,61,2,9
"KCATOPAN8","2021-06-09T11:45",62.6,12.1,15,61.5,2.9,10
"KCATOPAN8","2021-06-09T12:00",62.6,12.1,16,61.9,6,12
"KCATOPAN8","2021-06-09T12:15",61.9,12.1,15,61.5,4.9,11
"KCATOPAN8","2021-06-09T12:30",62.4,13,16,61.3,6,12
"KCATOPAN8","2021-06-09T12:45",61.9,15,17,61.3,8.1,13
"KCATOPAN8","2021-06-09T13:00",62.8,17,18,61.3,6.9,14
