"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCACALAB70","2025-01-07T00:00",56.1,3.3,3.5,55.9,1.3,1.3
"KCACALAB70","2025-01-07T00:15",56.1,4.4,4.6,55.4,0,0
"KCACALAB70","2025-01-07T00:30",55.7,2.6,2.6,54.6,0,0
"KCACALAB70","2025-01-07T00:45",55.7,5.3,5.8,54.5,0,0
"KCACALAB70","2025-01-07T01:00",55.7,1.5,1.5,53.9,0,0
"KCACALAB70","2025-01-07T01:15",53.9,2.6,2.6,53.7,0,0
"KCACALAB70","2025-01-07T01:30",55.4,4.4,4.6,53.9,0,0
"KCACALAB70","2025-01-07T01:45",55.5,6.4,6.7,54.8,0,0
"KCACALAB70","2025-01-07T02:00",55.4,4.4,4.6,54.3,0,0
"KCACALAB70","2025-01-07T02:15",55.4,5.8,6,54.6,1.3,1.3
"KCACALAB70","2025-01-07T02:30",55.4,8.5,10,54.3,0,0
"KCACALAB70","2025-01-07T02:45",54.8,6,6.4,54.3,0,0
"KCACALAB70","2025-01-07T03:00",55,7.6,9.6,54.5,1.3,1.3
"KCACALAB70","2025-01-07T03:15",54.8,6.7,7.3,54.5,1.5,1.5
"KCACALAB70","2025-01-07T03:30",55.9,10.2,10.7,54.8,2.6,2.6
"KCACALAB70","2025-01-07T03:45",56.3,10.9,12.3,55.9,2.4,2.4
"KCACALAB70","2025-01-07T04:00",56.8,11.1,12.9,56.3,2.4,2.4
"KCACALAB70","2025-01-07T04:15",57,11.1,13.6,56.6,3.1,3.3
"KCACALAB70","2025-01-07T04:30",57.5,16.1,19.9,56.8,3.8,3.8
"KCACALAB70","2025-01-07T04:45",57.9,15.8,19.9,57.3,3.3,3.8
"KCACALAB70","2025-01-07T05:00",57.7,12,15.2,57.2,3.5,4
"KCACALAB70","2025-01-07T05:15",57.5,9.3,11.1,57,2.4,2.4
"KCACALAB70","2025-01-07T05:30",57.2,12.7,13.1,56.6,3.1,3.3
"KCACALAB70","2025-01-07T05:45",57,10.2,12.9,56.6,2.4,2.4
"KCACALAB70","2025-01-07T06:00",57,12.3,13.1,56.3,1.5,1.5
"KCACALAB70","2025-01-07T06:15",56.6,10,11.4,56.1,2.9,2.9
"KCACALAB70","2025-01-07T06:30",56.1,9.8,12.3,55.9,2.4,2.4
"KCACALAB70","2025-01-07T06:45",56.3,11.4,13.4,55.9,3.3,3.5
"KCACALAB70","2025-01-07T07:00",56.4,11.8,12.9,56.3,2.2,2.2
"KCACALAB70","2025-01-07T07:15",56.3,11.4,12.9,56.1,2.6,2.6
"KCACALAB70","2025-01-07T07:30",56.8,11.4,13.4,56.3,2.2,2.2
"KCACALAB70","2025-01-07T07:45",57.2,15.4,19.6,56.8,2.6,2.6
"KCACALAB70","2025-01-07T08:00",57.5,14.9,17,57,3.1,3.3
"KCACALAB70","2025-01-07T08:15",57.5,13.6,16.1,57.3,4.2,4.4
"KCACALAB70","2025-01-07T08:30",57.5,13.1,15.4,57.3,3.1,3.5
"KCACALAB70","2025-01-07T08:45",57.5,19.6,23,57.3,4.2,4.4
"KCACALAB70","2025-01-07T09:00",57.5,28.1,39.3,57.3,4,4.2
"KCACALAB70","2025-01-07T09:15",57.3,20.3,32.6,57,5.1,5.1
"KCACALAB70","2025-01-07T09:30",57.2,22.5,34,56.8,5.1,5.1
"KCACALAB70","2025-01-07T09:45",57.2,20.5,25.7,56.8,4.2,4.4
"KCACALAB70","2025-01-07T10:00",57.3,13.1,15.4,57,4.4,4.6
"KCACALAB70","2025-01-07T10:15",58.1,12.3,14.7,57.2,4,4.2
"KCACALAB70","2025-01-07T10:30",58.4,17.4,20.3,58.1,3.5,4
"KCACALAB70","2025-01-07T10:45",59.1,20.5,31.3,58.4,4.6,4.9
"KCACALAB70","2025-01-07T11:00",59.5,15.8,21.2,59,3.8,4
"KCACALAB70","2025-01-07T11:15",60.2,16.5,20.8,59.1,4,4.4
"KCACALAB70","2025-01-07T11:30",60.4,16.7,22.5,59.9,4,4
"KCACALAB70","2025-01-07T11:45",60.8,19.2,27,60.4,5.1,5.3
"KCACALAB70","2025-01-07T12:00",61.1,16.5,18.7,60.8,4.6,4.6
"KCACALAB70","2025-01-07T12:15",61.7,15.6,19.9,61.3,4.6,4.6
"KCACALAB70","2025-01-07T12:30",62.4,20.3,22.5,61.5,2.2,2.2
"KCACALAB70","2025-01-07T12:45",62.6,16.1,19.6,61.8,5.1,5.5
"KCACALAB70","2025-01-07T13:00",62.9,15.8,20.1,62.2,5.1,5.3
"KCACALAB70","2025-01-07T13:15",62.7,16.1,18.1,62.2,4.9,5.1
"KCACALAB70","2025-01-07T13:30",62.9,13.4,16.1,62.4,2.9,2.9
"KCACALAB70","2025-01-07T13:45",62.9,16.7,20.5,62.7,5.1,5.3
"KCACALAB70","2025-01-07T14:00",62.7,19,20.5,62.4,5.3,5.8
"KCACALAB70","2025-01-07T14:15",63.1,15.8,18.1,62.4,4.9,5.1
"KCACALAB70","2025-01-07T14:30",62.7,17,20.1,62.6,5.1,5.3
"KCACALAB70","2025-01-07T14:45",62.7,14,15.6,62.7,2.6,2.6
"KCACALAB70","2025-01-07T15:00",62.9,12.9,14.7,62.7,5.1,5.1
"KCACALAB70","2025-01-07T15:15",62.9,14.3,16.5,62.2,5.1,5.3
"KCACALAB70","2025-01-07T15:30",62.4,17.2,20.8,61.8,4.9,4.9
"KCACALAB70","2025-01-07T15:45",62,14.7,17.2,61.7,2.4,2.4
"KCACALAB70","2025-01-07T16:00",62,16.7,20.3,61.3,4.9,5.1
"KCACALAB70","2025-01-07T16:15",61.5,15.4,20.3,61.1,5.3,5.5
"KCACALAB70","2025-01-07T16:30",61.1,12.3,14.9,60.9,4.4,4.6
"KCACALAB70","2025-01-07T16:45",61.1,19.9,22.1,60.6,4.4,4.6
"KCACALAB70","2025-01-07T17:00",60.6,14,17.4,60.2,4.2,4.4
"KCACALAB70","2025-01-07T17:15",60.4,15.6,18.1,60.2,4.2,4.4
"KCACALAB70","2025-01-07T17:30",60.4,15.4,19,60,4.6,5.1
"KCACALAB70","2025-01-07T17:45",60.2,14.5,19.2,59.9,4.2,4.4
"KCACALAB70","2025-01-07T18:00",60,18.7,20.1,59.7,4,4.2
"KCACALAB70","2025-01-07T18:15",60,20.5,28.4,59.7,4.9,5.1
"KCACALAB70","2025-01-07T18:30",59.9,21.4,34,59.7,5.5,6
"KCACALAB70","2025-01-07T18:45",60,22.5,27.5,59.7,5.8,6.2
