"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN724","2025-01-07T00:00",54.1,1.1,2.2,54.1,0,0
"KCALOSAN724","2025-01-07T00:15",54.1,1.8,2.2,54,0,0
"KCALOSAN724","2025-01-07T00:30",54,1.8,2.2,53.1,0,0
"KCALOSAN724","2025-01-07T00:45",53.1,1.3,2.2,52.7,0,0
"KCALOSAN724","2025-01-07T01:00",52.7,2.9,4.5,52.3,0.2,1.1
"KCALOSAN724","2025-01-07T01:15",52.7,3.8,4.5,52.5,0,1.1
"KCALOSAN724","2025-01-07T01:30",53.2,3.6,4.5,52.7,0,0
"KCALOSAN724","2025-01-07T01:45",53.2,4.3,5.6,53.2,0,0
"KCALOSAN724","2025-01-07T02:00",53.2,2.9,3.4,53.1,0,0
"KCALOSAN724","2025-01-07T02:15",53.1,1.8,2.2,52.3,0,0
"KCALOSAN724","2025-01-07T02:30",53.2,5.6,7.8,52.3,1.1,2.2
"KCALOSAN724","2025-01-07T02:45",54.9,5.4,5.6,53.2,0.9,1.1
"KCALOSAN724","2025-01-07T03:00",55.8,3.8,5.6,54.9,0,1.1
"KCALOSAN724","2025-01-07T03:15",55.8,3.4,4.5,55.6,0.9,1.1
"KCALOSAN724","2025-01-07T03:30",55.8,2.2,2.2,55.6,0,0
"KCALOSAN724","2025-01-07T03:45",55.6,3.4,3.4,54.7,0,0
"KCALOSAN724","2025-01-07T04:00",54.7,2.9,3.4,52.7,0,0
"KCALOSAN724","2025-01-07T04:15",52.7,2.2,2.2,52,0,0
"KCALOSAN724","2025-01-07T04:30",54,2.9,3.4,52.3,0,0
"KCALOSAN724","2025-01-07T04:45",54.1,2.7,3.4,54,0,0
"KCALOSAN724","2025-01-07T05:00",53.8,4.7,5.6,52.9,0,0
"KCALOSAN724","2025-01-07T05:15",53.1,1.6,3.4,52.7,0,0
"KCALOSAN724","2025-01-07T05:30",56.1,7.6,10.3,53.1,0.4,1.1
"KCALOSAN724","2025-01-07T05:45",59.7,4.7,6.7,56.3,0.4,1.1
"KCALOSAN724","2025-01-07T06:00",60.3,5.4,6.7,59.9,0.9,1.1
"KCALOSAN724","2025-01-07T06:15",60.6,10.5,14.8,60.1,3.4,4.5
"KCALOSAN724","2025-01-07T06:30",61.5,8.1,10.3,60.6,2,3.4
