"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAMALIB62","2025-01-07T00:00",52.2,0,0,51.6,0,0
"KCAMALIB62","2025-01-07T00:15",52.2,0,0,51.6,0,0
"KCAMALIB62","2025-01-07T00:30",53.4,0,0,52.9,0,0
"KCAMALIB62","2025-01-07T00:45",53.8,1.3,2.2,53.1,0,0
"KCAMALIB62","2025-01-07T01:00",53.8,1.1,1.1,53.2,0,0
"KCAMALIB62","2025-01-07T01:15",53.1,0.2,1.1,51.6,0,0
"KCAMALIB62","2025-01-07T01:30",51.4,0.9,1.1,50.7,0,0
"KCAMALIB62","2025-01-07T01:45",50.9,0.9,1.1,50.2,0,0
"KCAMALIB62","2025-01-07T02:00",51.4,0.9,1.1,50.9,0,0
"KCAMALIB62","2025-01-07T02:15",50.9,1.3,2.2,50.5,0,0
"KCAMALIB62","2025-01-07T02:30",50.5,0.7,1.1,50.2,0,0
"KCAMALIB62","2025-01-07T02:45",52.9,2.5,3.4,51.1,0,0
"KCAMALIB62","2025-01-07T03:00",57,2.2,4.5,53.2,0.2,1.1
"KCAMALIB62","2025-01-07T03:15",58.8,2.9,4.5,56.1,0,0
"KCAMALIB62","2025-01-07T03:30",59.5,2.5,4.5,57,0,0
"KCAMALIB62","2025-01-07T03:45",60.8,5.1,6.9,59.9,1.1,1.1
"KCAMALIB62","2025-01-07T04:00",62.1,3.4,6.9,60.6,1.8,2.2
"KCAMALIB62","2025-01-07T04:15",62.1,5.4,8.1,61.7,2.5,3.4
"KCAMALIB62","2025-01-07T04:30",63,4.9,10.3,62.1,4,5.8
"KCAMALIB62","2025-01-07T04:45",63.7,6,8.1,63.5,2,3.4
"KCAMALIB62","2025-01-07T05:00",64,7.8,12.5,63.7,2.9,3.4
"KCAMALIB62","2025-01-07T05:15",63.9,7.6,11.4,63.9,6.3,8.1
"KCAMALIB62","2025-01-07T05:30",64,7.8,12.5,63.7,2.9,3.4
"KCAMALIB62","2025-01-07T05:45",63.7,9.2,15.9,63.5,3.8,5.8
"KCAMALIB62","2025-01-07T06:00",63.7,8.1,10.3,63.3,3.4,5.8
"KCAMALIB62","2025-01-07T06:15",63.7,8.1,10.3,63.3,3.4,5.8
