"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA2881","2025-01-07T00:00",53.2,2.9,3.4,52.9,0,2.5
"KCASANTA2881","2025-01-07T00:15",53.1,3.6,4.3,52.5,0,1.3
"KCASANTA2881","2025-01-07T00:30",53.1,2.9,3.6,52.5,0,1.8
"KCASANTA2881","2025-01-07T00:45",53.2,3.6,3.6,52.5,0,2.5
"KCASANTA2881","2025-01-07T01:00",53.2,4.7,5.1,52.3,0,0
"KCASANTA2881","2025-01-07T01:15",53.2,3.8,4.5,52.7,0,2.2
"KCASANTA2881","2025-01-07T01:30",53.1,4.9,4.9,52.5,0,2
"KCASANTA2881","2025-01-07T01:45",52.7,2.9,3.1,52,0,1.3
"KCASANTA2881","2025-01-07T02:00",52.3,3.6,3.8,51.8,0,2.5
"KCASANTA2881","2025-01-07T02:15",51.8,3.4,3.6,51.4,0,2.2
"KCASANTA2881","2025-01-07T02:30",51.8,2.7,3.1,51.4,0,1.6
"KCASANTA2881","2025-01-07T02:45",51.4,1.8,2.2,50.5,0,0
"KCASANTA2881","2025-01-07T03:00",50.7,2,2.5,50.2,0,0
"KCASANTA2881","2025-01-07T03:15",50,1.6,1.8,49.5,0,0
"KCASANTA2881","2025-01-07T03:30",49.6,1.3,2,49.1,0,0
"KCASANTA2881","2025-01-07T03:45",50,2.2,2.5,49.1,0,1.1
"KCASANTA2881","2025-01-07T04:00",49.6,2.9,3.1,48.7,0,1.6
"KCASANTA2881","2025-01-07T04:15",50,2.5,2.7,49.1,0,1.3
"KCASANTA2881","2025-01-07T04:30",50.9,3.6,3.8,49.3,0,1.1
"KCASANTA2881","2025-01-07T04:45",49.3,2.7,3.4,48.9,0,1.6
"KCASANTA2881","2025-01-07T05:00",49.3,3.1,3.4,48.9,0,1.3
"KCASANTA2881","2025-01-07T05:15",50.4,3.1,3.6,49.1,0,1.8
"KCASANTA2881","2025-01-07T05:30",50.2,2.7,3.6,49.5,0,1.3
"KCASANTA2881","2025-01-07T05:45",50.5,3.4,3.8,49.8,0,1.3
"KCASANTA2881","2025-01-07T06:00",53.1,7.2,7.6,50,0,2
"KCASANTA2881","2025-01-07T06:15",58.8,7.8,9.6,53.1,0,2.2
"KCASANTA2881","2025-01-07T06:30",60.4,10.5,13.2,56.5,0,2.7
"KCASANTA2881","2025-01-07T06:45",61.3,11.6,15,59.9,0,7.6
"KCASANTA2881","2025-01-07T07:00",61.3,8.5,14.8,61,1.1,6.7
"KCASANTA2881","2025-01-07T07:15",61.3,8.9,12.3,61.2,0,5.6
"KCASANTA2881","2025-01-07T07:30",62.8,12.5,15.2,61.3,1.1,7.6
"KCASANTA2881","2025-01-07T07:45",63.9,19,22.6,62.8,2.2,10.1
"KCASANTA2881","2025-01-07T08:00",64.8,16.3,23,63.9,3.4,11.2
"KCASANTA2881","2025-01-07T08:15",65.1,17.9,21.3,64.8,2.5,14.5
"KCASANTA2881","2025-01-07T08:30",65.1,19.2,24.8,64,3.8,14.8
"KCASANTA2881","2025-01-07T08:45",64,20.1,24.4,63.9,2,13.4
"KCASANTA2881","2025-01-07T09:00",64.6,17.2,19.5,63.9,2.9,13.2
"KCASANTA2881","2025-01-07T09:15",65.3,21.7,23,64.6,3.1,12.1
"KCASANTA2881","2025-01-07T09:30",65.1,20.6,26.4,64.2,4.9,17.4
"KCASANTA2881","2025-01-07T09:45",64.4,19.2,25.7,63.9,4.5,14.3
"KCASANTA2881","2025-01-07T10:00",63.9,25.7,28.6,63.5,1.3,15.2
"KCASANTA2881","2025-01-07T10:15",64.6,19.5,27.7,63.7,2.5,11.4
"KCASANTA2881","2025-01-07T10:30",66,16.8,25.1,64.2,2,12.3
"KCASANTA2881","2025-01-07T10:45",65.8,16.3,18.6,65.1,1.3,10.7
"KCASANTA2881","2025-01-07T11:00",66.6,18.3,22.4,65.8,0,11.6
