"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","60ʡF","56ʡF","86ʡ%","WSW","9ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"12:59 AM","60ʡF","56ʡF","86ʡ%","WSW","8ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Partly Cloudy"
"1:08 AM","60ʡF","56ʡF","86ʡ%","WSW","9ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"1:49 AM","61ʡF","55ʡF","82ʡ%","WSW","8ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"1:53 AM","60ʡF","56ʡF","86ʡ%","WSW","7ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"2:53 AM","61ʡF","57ʡF","87ʡ%","WSW","6ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"3:53 AM","61ʡF","56ʡF","83ʡ%","VAR","3ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Cloudy"
"4:53 AM","61ʡF","56ʡF","83ʡ%","E","5ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Cloudy"
"5:53 AM","62ʡF","56ʡF","80ʡ%","CALM","0ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Cloudy"
"6:53 AM","63ʡF","56ʡF","78ʡ%","CALM","0ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Cloudy"
"7:53 AM","63ʡF","56ʡF","78ʡ%","CALM","0ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Cloudy"
"8:53 AM","65ʡF","55ʡF","70ʡ%","ENE","5ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Cloudy"
"9:53 AM","68ʡF","57ʡF","68ʡ%","W","8ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Cloudy"
"10:23 AM","67ʡF","56ʡF","68ʡ%","W","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"10:53 AM","68ʡF","56ʡF","65ʡ%","WSW","10ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"11:53 AM","68ʡF","56ʡF","65ʡ%","W","12ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"12:53 PM","69ʡF","56ʡF","63ʡ%","WSW","12ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"1:53 PM","69ʡF","56ʡF","63ʡ%","WSW","13ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2:53 PM","69ʡF","57ʡF","65ʡ%","WSW","16ʡmph","0ʡmph","29.72ʡin","0.0ʡin","Fair"
"3:53 PM","68ʡF","57ʡF","68ʡ%","W","15ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Fair"
"4:53 PM","67ʡF","57ʡF","70ʡ%","WSW","14ʡmph","0ʡmph","29.69ʡin","0.0ʡin","Fair"
"5:53 PM","66ʡF","56ʡF","70ʡ%","W","15ʡmph","0ʡmph","29.68ʡin","0.0ʡin","Fair"
"6:53 PM","64ʡF","57ʡF","78ʡ%","WSW","14ʡmph","0ʡmph","29.68ʡin","0.0ʡin","Fair"
"7:53 PM","62ʡF","57ʡF","84ʡ%","WSW","10ʡmph","0ʡmph","29.68ʡin","0.0ʡin","Fair"
"8:53 PM","61ʡF","58ʡF","90ʡ%","WSW","8ʡmph","0ʡmph","29.69ʡin","0.0ʡin","Fair"
"9:53 PM","62ʡF","57ʡF","84ʡ%","SW","7ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Fair"
"10:53 PM","61ʡF","57ʡF","87ʡ%","SW","8ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Fair"
"11:53 PM","61ʡF","57ʡF","87ʡ%","WSW","6ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Fair"
