"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2024-07-29|12:53 AM","62ʡF","58ʡF","86ʡ%","W","8ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|1:53 AM","61ʡF","58ʡF","90ʡ%","WSW","3ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|2:53 AM","61ʡF","58ʡF","90ʡ%","W","6ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|3:53 AM","61ʡF","58ʡF","90ʡ%","WSW","3ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|4:53 AM","60ʡF","58ʡF","93ʡ%","WSW","3ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|5:53 AM","61ʡF","58ʡF","90ʡ%","W","7ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Partly Cloudy"
"2024-07-29|6:53 AM","61ʡF","59ʡF","93ʡ%","W","7ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Partly Cloudy"
"2024-07-29|7:53 AM","63ʡF","59ʡF","87ʡ%","WSW","5ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2024-07-29|8:53 AM","66ʡF","59ʡF","78ʡ%","W","7ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"2024-07-29|9:53 AM","68ʡF","59ʡF","73ʡ%","W","8ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2024-07-29|10:53 AM","69ʡF","59ʡF","70ʡ%","WSW","8ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Fair"
"2024-07-29|11:53 AM","69ʡF","58ʡF","68ʡ%","WSW","10ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Fair"
"2024-07-29|12:53 PM","72ʡF","58ʡF","61ʡ%","W","12ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Fair"
"2024-07-29|1:53 PM","70ʡF","58ʡF","65ʡ%","W","10ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Fair"
"2024-07-29|2:53 PM","70ʡF","57ʡF","63ʡ%","W","15ʡmph","0ʡmph","29.84ʡin","0.0ʡin","Fair"
"2024-07-29|3:53 PM","70ʡF","58ʡF","65ʡ%","W","15ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Fair"
"2024-07-29|4:53 PM","69ʡF","59ʡF","70ʡ%","W","14ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"2024-07-29|5:53 PM","69ʡF","60ʡF","73ʡ%","W","13ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"2024-07-29|6:53 PM","66ʡF","59ʡF","78ʡ%","W","14ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"2024-07-29|7:53 PM","64ʡF","56ʡF","75ʡ%","W","13ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"2024-07-29|8:53 PM","65ʡF","57ʡF","75ʡ%","WSW","10ʡmph","0ʡmph","29.81ʡin","0.0ʡin","Fair"
"2024-07-29|9:53 PM","63ʡF","58ʡF","84ʡ%","WSW","7ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|10:53 PM","63ʡF","58ʡF","84ʡ%","SW","5ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
"2024-07-29|11:53 PM","62ʡF","57ʡF","84ʡ%","W","5ʡmph","0ʡmph","29.82ʡin","0.0ʡin","Fair"
