date,temperature_max,temperature_avg,temperature_min,wind_speed_max,wind_speed_avg,wind_speed_min
1/28/1947,54,50.7,44,28,15.7,1
4/3/1947,61,54.9,48,39,16.8,3
11/5/1947,69,59.3,51,30,15.6,0
12/29/1947,60,52.3,47,28,14.1,1
2/5/1948,56,51.1,46,32,13.2,3
2/10/1948,58,52,47,29,13.1,0
2/23/1948,65,56.7,49,32,20.5,13
4/23/1948,64,58.2,51,29,11.6,3
11/17/1948,64,57.5,51,30,7.1,0
11/26/1948,61,54.4,47,36,16.6,2
1/2/1949,56,50.4,44,30,13.5,2
1/16/1949,55,49.3,43,35,21.2,8
3/28/1949,64,57.3,53,31,14.4,3
10/8/1949,69,61,55,28,15.6,3
10/18/1949,61,57.5,52,35,15.4,2
11/10/1949,62,59.5,56,28,14.8,3
1/24/1950,57,52.2,45,33,16.3,7
3/25/1950,56,51.5,45,33,17.3,3
12/31/1950,56,50.6,47,28,18,12
1/11/1951,55,49.4,43,29,11.8,2
1/12/1951,60,51.3,42,29,12.1,2
4/28/1951,62,56.2,53,28,10.3,0
4/29/1951,59,54.5,48,36,17.3,3
12/5/1951,61,55.8,48,30,14.8,3
12/30/1951,59,55.1,50,35,17.5,3
2/3/1952,72,62.8,55,35,10.3,1
3/1/1952,55,52.5,49,37,21,0
3/15/1952,54,50.1,49,30,14.9,8
3/20/1952,61,52.5,46,29,18.7,3
11/15/1952,55,51.5,47,30,8.8,0
1/21/1953,70,58.8,50,30,12.6,0
2/5/1953,75,66.2,49,30,15.7,0
2/8/1953,67,59.5,53,35,18.2,0
2/18/1953,65,58.7,52,30,20.8,10
3/1/1953,56,49,44,31,13.5,0
4/8/1953,57,52.4,46,28,13.1,0
5/1/1953,66,58.8,51,28,11,0
5/9/1953,67,60.8,56,35,21,3
10/19/1953,69,63.3,58,29,16,5
11/17/1953,66,58.8,53,37,14.3,3
11/18/1953,65,56.2,50,29,19.2,6
11/20/1953,60,54,49,30,15.1,2
12/4/1953,63,56.9,53,30,16.7,3
2/13/1954,56,53.7,51,28,14,3
2/14/1954,58,54,50,32,13.9,0
3/16/1954,60,51.3,45,35,11.6,0
4/30/1954,62,57.5,54,28,11.9,3
2/2/1955,57,50,45,37,22,12
4/2/1955,65,57.4,51,30,21.1,7
4/10/1955,69,60.1,49,32,12.5,0
4/11/1955,82,66.8,60,30,20.5,13
4/18/1955,59,54.5,52,32,18.9,9
4/26/1955,60,55.5,51,30,16,5
12/2/1955,59,54.6,51,29,13.3,3
1/16/1956,65,57.9,54,28,12,0
1/26/1956,57,55.2,54,29,13.8,3
3/6/1956,63,54.3,48,35,18,0
4/1/1956,58,52.4,46,35,12.3,0
10/31/1956,66,59,54,33,12.5,0
12/21/1956,64,54.5,47,28,11,0
3/13/1957,66,57.5,52,29,13.4,0
3/21/1957,63,57.6,54,37,13.5,0
4/1/1957,69,61.3,55,35,19,0
5/14/1957,66,61.3,58,36,15.8,3
5/19/1957,67,61.2,57,28,18.8,2
12/5/1957,59,55,51,32,11.9,3
2/25/1958,66,60.1,55,35,20.2,7
4/3/1958,63,58.1,55,30,20,9
4/6/1958,60,52.8,48,31,11.4,2
5/22/1958,75,67,58,28,11.1,0
11/15/1958,62,56.5,48,31,17.4,8
1/6/1959,65,57.9,53,31,10,2
3/24/1959,68,61.2,55,29,17.3,6
5/3/1959,66,60,55,32,14.4,0
10/29/1959,72,64.5,56,29,10,0
12/13/1959,59,55.1,51,35,18,6
12/25/1959,62,57.8,53,32,16.9,3
12/31/1959,58,51.4,46,30,16.4,7
2/9/1960,60,56.5,53,29,22.2,13
2/10/1960,59,55,51,29,20,6
2/18/1960,60,53,45,29,13.6,3
3/15/1961,60,56.2,51,36,16.1,0
4/23/1961,62,55.7,47,31,13.9,5
5/11/1961,66,59.2,53,29,12.6,2
5/12/1961,66,58.2,50,30,12.9,0
10/28/1961,70,63,56,29,14.7,0
1/20/1962,57,53.7,50,28,15.1,7
3/9/1962,56,52.3,48,35,13.1,2
4/20/1962,72,61.9,56,28,16.5,6
11/16/1962,65,57.6,47,28,11.1,0
3/2/1963,68,59.8,51,29,12.4,3
3/14/1963,65,56.1,51,28,10.6,2
3/16/1963,56,50.2,45,28,10.4,5
4/1/1963,60,54.4,49,30,15.9,5
5/11/1963,67,60,52,28,10.7,0
11/21/1963,62,55.7,52,28,15.5,2
12/9/1963,62,56,51,31,12.1,2
1/7/1964,65,57.8,49,28,9.7,3
3/6/1964,60,53.3,46,30,14.5,0
3/16/1964,79,70.6,62,40,20.3,3
2/18/1965,79,60.6,46,51,9.3,3
4/10/1965,59,52.9,47,29,19.5,8
5/21/1965,65,60.5,56,30,13.8,5
10/16/1965,69,64.2,59,28,15.5,3
12/22/1965,58,51.3,46,28,13.1,3
12/29/1965,60,56.2,52,29,19.8,16
3/1/1966,58,52.4,49,28,14,5
3/2/1966,54,48.8,44,28,19,6
6/8/1967,67,61.8,59,31,10.5,3
10/15/1968,77,66.6,59,28,12.6,3
12/26/1969,62,57,53,30,18.6,6
12/29/1969,60,53.4,45,30,11.1,3
3/10/1970,61,56.9,53,30,12,2
4/13/1970,62,58.9,53,33,17.3,6
4/21/1970,60,54.8,49,36,19.8,5
4/27/1970,60,55.6,53,32,21.6,9
2/19/1971,56,52.7,48,28,10.8,2
2/25/1971,65,55.4,48,29,12.9,5
2/27/1971,60,52,43,30,13.2,5
4/17/1971,59,55.7,51,32,17.9,5
4/21/1971,61,55.5,49,30,13.9,2
5/18/1972,68,61,58,51,10.5,3
11/11/1972,61,57.7,53,32,17.3,5
12/4/1972,58,55.7,51,29,15.4,3
2/11/1973,60,47.5,0,28,18.9,9
3/20/1973,57,39.4,0,30,18.4,5
4/1/1973,65,54,0,28,13.7,3
11/26/1973,66,50.7,0,47,8.5,3
1/1/1974,55,50.1,0,28,15.6,5
4/9/1974,60,54,0,32,18.6,5
10/28/1974,67,49.3,0,35,15.6,3
3/22/1975,60,46.5,0,31,15.7,0
3/25/1975,62,45.7,0,35,15.5,5
4/25/1975,64,43.7,0,29,14.5,3
4/26/1975,64,56.9,52,28,15.4,6
5/4/1975,64,55.6,0,29,15,2
10/30/1975,66,43.8,0,29,8.8,0
11/13/1975,88,71.2,62,58,8.7,0
11/28/1975,56,47.7,0,29,17,5
2/19/1976,64,46.4,0,29,10.7,3
4/15/1976,60,52.8,0,37,15.6,3
4/16/1976,62,54.9,46,29,15.4,6
8/12/1976,74,50.5,0,89,13.4,3
7/24/1977,76,64.8,0,35,8.8,0
8/4/1977,76,65.5,0,46,10.5,2
10/10/1977,73,56.1,0,48,8.6,0
11/27/1977,84,69.4,56,28,10.5,0
12/18/1977,62,52.1,0,69,13.8,0
2/10/1978,60,56.5,53,33,22.4,13
4/16/1978,61,55.5,48,28,13.1,3
8/10/1978,79,52.9,0,60,9.3,0
8/11/1978,75,55.2,0,59,9.9,0
9/9/1978,75,58,0,61,11.1,0
9/11/1978,76,63.4,0,59,8.2,0
9/21/1978,90,68.1,0,63,11.6,0
10/4/1978,72,47.5,0,35,8.1,0
10/28/1978,69,49.4,0,45,6.8,0
12/1/1978,63,46.8,0,28,7.9,3
12/7/1978,53,41.9,0,63,11.2,3
1/25/1979,57,46.3,0,31,11.2,0
2/21/1979,58,44,0,28,17.6,13
4/13/1979,72,57,0,59,9.1,0
10/20/1979,69,50.4,0,30,15.8,5
10/28/1979,70,49.7,0,29,9.3,0
10/29/1979,76,66.3,60,28,18.5,10
3/21/1980,60,52.2,0,30,11.1,0
4/1/1980,62,53.6,0,28,17.1,8
5/23/1980,64,59.3,55,35,16.8,7
5/24/1980,63,56.4,51,28,16,7
10/14/1980,70,64.6,61,29,12.2,0
10/15/1980,67,61.7,57,28,13.4,3
3/13/1981,61,52.6,0,32,17.3,6
3/26/1981,61,57.3,54,37,23.3,9
11/16/1981,66,40.6,0,53,7.6,0
1/1/1982,59,46.9,0,29,15.1,5
1/2/1982,56,49.8,0,30,14.6,0
1/21/1982,54,45,0,32,16.7,5
1/28/1982,57,45.9,0,29,12.8,0
7/12/1982,73,48.6,0,33,8.7,3
